ticker,n_events,car_mm_1q_m10_p10_pct,car_mm_1q_m1_p1_pct,car_mm_1q_m5_p5_pct,car_mm_1q_p0_p10_pct,car_mm_1q_p0_p1_pct,car_mm_1q_p0_p5_pct,car_mm_1y_m10_p10_pct,car_mm_1y_m1_p1_pct,car_mm_1y_m5_p5_pct,car_mm_1y_p0_p10_pct,car_mm_1y_p0_p1_pct,car_mm_1y_p0_p5_pct,car_simple_m10_p10_pct,car_simple_m1_p1_pct,car_simple_m5_p5_pct,car_simple_p0_p10_pct,car_simple_p0_p1_pct,car_simple_p0_p5_pct,news__nw_lm_constr_prop__all,news__nw_lm_constr_prop__post,news__nw_lm_constr_prop__post_minus_pre,news__nw_lm_constr_prop__pre,news__nw_lm_lit_prop__all,news__nw_lm_lit_prop__post,news__nw_lm_lit_prop__post_minus_pre,news__nw_lm_lit_prop__pre,news__nw_lm_neg_prop__all,news__nw_lm_neg_prop__post,news__nw_lm_neg_prop__post_minus_pre,news__nw_lm_neg_prop__pre,news__nw_lm_pos_prop__all,news__nw_lm_pos_prop__post,news__nw_lm_pos_prop__post_minus_pre,news__nw_lm_pos_prop__pre,news__nw_lm_tone__all,news__nw_lm_tone__post,news__nw_lm_tone__post_minus_pre,news__nw_lm_tone__pre,news__nw_lm_unc_prop__all,news__nw_lm_unc_prop__post,news__nw_lm_unc_prop__post_minus_pre,news__nw_lm_unc_prop__pre,tr__tr_lm_constr_prop__all__all,tr__tr_lm_constr_prop__prepared__all,tr__tr_lm_constr_prop__qa__all,tr__tr_lm_lit_prop__all__all,tr__tr_lm_lit_prop__prepared__all,tr__tr_lm_lit_prop__qa__all,tr__tr_lm_neg_prop__all__all,tr__tr_lm_neg_prop__prepared__all,tr__tr_lm_neg_prop__qa__all,tr__tr_lm_pos_prop__all__all,tr__tr_lm_pos_prop__prepared__all,tr__tr_lm_pos_prop__qa__all,tr__tr_lm_tone__all__all,tr__tr_lm_tone__prepared__all,tr__tr_lm_tone__qa__all,tr__tr_lm_unc_prop__all__all,tr__tr_lm_unc_prop__prepared__all,tr__tr_lm_unc_prop__qa__all
LLY,20,1.6975102526891603,0.6605885348692564,0.8114415637944716,1.1839379157856225,0.46607006481872715,0.906536668647464,2.385512673222138,0.7107345951349819,1.278766999422867,1.7716978248629769,0.494757391416725,1.2506323636050354,4.069846654925948,0.9085144897531044,2.1921682644583758,2.7331230954823815,0.694715864848481,1.8159464768033267,0.0017285818212500598,0.00182143281456025,0.00047262220329436,0.001348810611265905,0.006737303864684815,0.00623954802560014,-0.0008048394923566297,0.007044387517956765,0.02818703066120663,0.028423295542062865,-0.0004898878664262397,0.028913183408489092,0.027689613178337354,0.028337355911371164,0.0006392929969677352,0.02769806291440343,-0.0004974174828692799,-8.593963069169022e-05,0.0011291808633939553,-0.0012151204940856555,0.014743514041061228,0.016322516873884585,0.0036123243981538446,0.012710192475730705,0.002528713036149325,0.00179319791160279,0.00261347429984587,0.0031033721377594853,0.0028347733940318398,0.00302537504408066,0.022758521789301704,0.01672503709314514,0.026111209293385413,0.03185636257933228,0.03285233512701998,0.030026701405337364,0.009097840790030535,0.01612729803387479,0.00391549211195195,0.022166120300572176,0.01677820705526539,0.026922181115226977
MA,20,0.2540561201939654,0.43468350678688183,0.06667802567656902,-0.15257648028032186,0.38071889839658996,-0.08651371825581108,0.07345431552988073,0.3225431891024489,0.02211397363252181,-0.24209264505464026,0.28442325806451113,-0.03236113473403575,-0.013451207737378651,0.4267261928615834,0.17302887126056427,-0.3461075697806867,0.26870582416072475,0.03665348751054257,0.002135863657044255,0.00124809584609514,-0.001485042118332775,0.0027331379644279204,0.0036779714872972797,0.004291667001080905,0.0019151690864907599,0.002376497914590155,0.011642796009447374,0.012978999945743095,0.00201317200792562,0.01096582793781745,0.0343428464860266,0.034897030896114116,0.00132930263256488,0.033567728263549236,0.02270005047657919,0.02191803095037098,-0.0006838693753607799,0.022601900325731755,0.011777119667581465,0.01293021025757365,0.00201297282506223,0.01091723743251138,0.001580503304424785,0.0018574285748831649,0.00123774218570218,0.001659031812163975,0.0006444044513761301,0.002432190750307455,0.012952069993474698,0.00819164608278706,0.01627699493192501,0.03143972655628611,0.03540184853691323,0.028749703524842428,0.018487656562811365,0.027210202454126104,0.01247270859291737,0.012640195592342775,0.010101055381515995,0.016074507611519316
META,20,-0.24410868837985097,0.2889474231343617,-0.03028385711043775,-0.26808996281101793,-0.0753996127463852,-0.22086465093682697,-0.5240606308585981,0.2645937306001708,-0.17225503214691695,-0.24942439399936173,-0.16285454883763645,-0.2720108512167663,1.4247480473280998,0.3545767729682379,0.6169883389744879,0.7136026569592333,-0.17339266191259814,-0.03792049998806748,0.001884621397512845,0.00203921588257839,0.0003028082730764582,0.00173640760950192,0.01176363258608237,0.01067481452330181,-0.0019057166981271798,0.01258053122142901,0.03680322551844635,0.035184337369280935,-0.002598675849517385,0.03778301321879833,0.024080062366964538,0.026505419532487917,0.00499527297301465,0.02151014655947322,-0.01272316315148179,-0.00867891783679301,0.007593948822532065,-0.016272866659325095,0.01537744413177298,0.015062466311813235,-0.0005982912491618101,0.015660757560975045,0.00192795639611918,0.00219545664578667,0.0016926043240415652,0.0020654890137386953,0.0027256590346139047,0.001454316043012265,0.012063320357190859,0.009144692543593024,0.014852029439656082,0.039394385312699745,0.04135301663960626,0.03755933110661934,0.027331064955508844,0.032208324096013166,0.022707301666963234,0.013491725234093522,0.01149975933824023,0.015558744415027085
MSFT,20,1.0601602225067785,0.509295145832209,0.5758886157858403,-0.2875704445753263,-0.0688120188878999,-0.20785648273731133,0.8433297790278772,0.5544269495993348,0.4836648824171027,-0.3858283083726694,-0.0818534424942191,-0.313019223719906,1.5276056968871639,0.6435480507404134,0.7908989405029354,0.045674409754193124,0.006502910526276828,-0.018888386436281747,0.001785627869276585,0.001924223908824585,0.00032562356618878995,0.001598600342635765,0.0045741714795538855,0.00481868687394507,0.0004855334775699449,0.00433315339637512,0.02557091483128914,0.026722359270111108,0.0013413545912760402,0.025381004678835056,0.02994776880334815,0.03366698067199979,0.00721840887872772,0.026448571793272053,0.00437685397205901,0.006944621401888675,0.00587705428745168,0.001067567114436975,0.014886941301622363,0.0141740410165824,-0.001859232193011645,0.016033273209594044,0.0035416632972701,0.0013104531124006349,0.00457073031001315,0.0030097514672415048,0.0014988482338230348,0.003720011281910415,0.01089204502537507,0.00421304530443831,0.013981175300569446,0.029171784198899632,0.02725909395282621,0.03013721861690054,0.018279739173524524,0.023046048648387864,0.016156043316331033,0.01563626263013158,0.009819714068888664,0.018338918683903284
MU,20,2.9346825315652474,-0.14655737413558398,0.2998006940933177,1.342646973796798,0.06673195672046525,-0.6129603506427465,3.978424517310027,0.04290109543660723,0.8299009051385522,1.7368359891308862,0.15507089855158893,-0.39607757568288926,4.636996780122127,0.6331324386602981,1.7099345969539397,2.025626590768305,0.5145433362453418,0.29802905363912846,0.0016172133196870199,0.0016194243191848148,1.2397596524077274e-05,0.001607026722660735,0.00380488177939729,0.002362262936136005,-0.0018237263389020032,0.0041859892750379995,0.027116014992460864,0.026259571043797263,-0.00031859194074251027,0.026578162984539765,0.03324461344123146,0.03709214695329153,0.00916784586910626,0.027924301084185248,0.006128598448770576,0.010832575909494251,0.009486437809848786,0.0013461380996454496,0.01406087437143037,0.013510122227343166,-0.0017010114355479702,0.015211133662891155,0.0034531761011869348,0.0030136749944575597,0.0038325097379931,0.00079247191626444,0.00047178127299806003,0.00114300797299085,0.013764436356688965,0.01132623727874084,0.016206869656274863,0.03855558976205349,0.041413871534733145,0.03429126139044168,0.024791153405364492,0.030087634255992264,0.018084391734166785,0.015484555429319266,0.016144835818952416,0.016548784919639216
NVDA,20,3.231502466532085,2.0007447493436135,-0.13196525241369814,-0.4341205971965585,-0.5477326697108433,-2.028413062951799,2.2801580580353327,1.8378613146137428,-0.44152536241562734,-0.9364661952709395,-0.5347903582156008,-2.203583097152707,5.9221044729349295,2.4528878774896974,0.6477439487759149,0.8501058361311941,-0.0718363747874499,-1.3826502124063784,0.00215619921489818,0.00244273082378876,0.0009400515090713983,0.001502679314717345,0.0032105078514009103,0.00368862888084867,0.0009915630167232148,0.002697065864125445,0.02265312351074921,0.0250450185697094,0.004259976888704465,0.020785041681004902,0.029530382691937633,0.03192789000814541,0.004193360659180535,0.027734529348964854,0.00687725918118839,0.006882871438435985,-6.661622952393984e-05,0.00694948766795994,0.017564858605730305,0.01716711078987173,-0.001051268338316085,0.018218379128187825,0.0034083444868410347,0.007086099284067756,0.0029149164335867,0.0020146460077952047,0.00487954861345395,0.00138764923328802,0.011385882887294476,0.008420111216049164,0.01293926589362716,0.02801427624300491,0.02542391508330541,0.02773327030330284,0.01662839335571038,0.017003803867256223,0.01479400440967563,0.015615130638145461,0.020630370085331952,0.016640778929401034
ORCL,20,1.9305158534796962,2.4463143956349636,3.0814042689723937,-1.9750219376198668,-0.007461608828890154,-0.9061963040970941,1.544712110735921,2.39531315574878,2.7840011003993292,-2.0309456399141843,0.01710454656832807,-0.8936208945993677,3.0943984542852614,2.5889157259321833,3.518199125355964,-1.0310153036755594,0.10850146356090833,-0.4310706782112829,0.002293000463725335,0.002451777398758545,0.0003658024158303322,0.00208597498292823,0.0022625795116917352,0.00214575532171521,0.00014357525856263995,0.00200218006315257,0.01335566295496747,0.014175845823303435,0.002602165917114655,0.01157367990618874,0.03043684510422806,0.0338842496510298,0.01096476054519996,0.022919489105829794,0.01708118214926055,0.01970840382772632,0.008362594628085295,0.01134580919964101,0.010098330900994225,0.00874363570915994,-0.00292352525691416,0.01166716096607412,0.0030044193050832503,0.00389795583745063,0.002410354772433705,0.002452385433857725,0.002454926751900965,0.00246735088315305,0.011100020238076744,0.008635703961194705,0.01413390072474054,0.023524511016182782,0.02128759314467232,0.02578832377877796,0.012424490778105975,0.01265188918347758,0.011654423054037374,0.013375503914846935,0.01605023896233993,0.01068652939982504
TSLA,20,-1.633625442578095,0.38062189070185126,0.2525572321200956,2.802334400221462,1.1583539529615137,1.989007183392814,-3.560040064753417,0.029939331331918416,-1.0641223478505246,1.7143918471704342,0.9827195597258622,1.4161492379208305,-0.1252783878282454,0.35661787067987094,0.9641911466827902,3.5161360624872544,1.2041165790437929,2.5258451083387294,0.001422753909960665,0.0017000220027224501,0.00047778899417378115,0.00122223300854867,0.007274694969828965,0.008293936328687971,0.00204775934481485,0.006246176983873119,0.036319854811583854,0.038100578770002363,0.0034560756614607857,0.03464450310854159,0.021189778236982756,0.02232790304287924,0.002088755452465095,0.020239147590414126,-0.01513007657460105,-0.01577267572712309,-0.0013673202089956602,-0.014405355518127405,0.017668434719486183,0.018217377731398355,0.0008137421839955559,0.017403635547402797,0.00376881280209483,0.00405416165605052,0.003818887393870115,0.003369439347195865,0.0024210432188109853,0.00365570872969249,0.020128965236579185,0.01785475807423844,0.021262928624175954,0.030726126222107287,0.04230575174034315,0.026130888877659207,0.01059716098552805,0.024450993666104644,0.004867960253483241,0.021363155031846576,0.019642709466642615,0.022076398456365564
V,20,0.1821197326975764,0.33011091807156856,-0.2865152259910335,-0.7352141385122309,-0.22171252106333697,-0.6842263290331863,0.42770654347297643,0.3932405583921771,-0.21579856848813,-0.6092986768932285,-0.19048563567516932,-0.6394608608720974,0.4389026459659343,0.595043102255681,-0.15912772944788706,-0.6566308684363144,-0.06895666279747703,-0.5840411071259396,0.00167930277281429,0.001618344234207995,0.00012159861326141081,0.001496745620946595,0.00864076971510263,0.006791092311497585,-0.0014623343816452551,0.00825342669314284,0.01930052277905605,0.017065434851850268,-0.004205967471307585,0.021271402323157877,0.029082320136710506,0.031123975915595466,0.0026243427973062054,0.028499633118289246,0.009781797357654425,0.014058541063745156,0.006830310268613815,0.007228230795131335,0.011085273308984425,0.011530422653089895,0.0006527472389523251,0.010877675414137564,0.002114433455867335,0.002162578131923095,0.001827408942484415,0.00193470154026291,0.0017535890743481698,0.00210547693350648,0.01367980815823385,0.009276097503128175,0.016242645375675928,0.03192913388357051,0.031227869399226022,0.031656931026490455,0.01824932572533661,0.0219517718960978,0.01541428565081448,0.016883442715814705,0.013009472339495884,0.020704559878541508
WMT,20,-0.3383445196946271,-0.15189101163711535,-0.7252789445382433,0.3169919200459931,-0.400063217556857,-0.37385226126718285,-0.7792954666428192,-0.13551583712065002,-0.8916078684810647,-0.07062875049009362,-0.44120515568146984,-0.6115967220540622,-0.6006686804238519,0.04830482729826344,-0.8778002869974004,-0.07448291777829594,-0.2802338981994777,-0.5955300263858986,0.00178220093848522,0.00197325053614117,0.000525611998903875,0.00144763853723728,0.004937989644004635,0.004644868353958555,-0.000477086890470954,0.005121955244429511,0.02009540039050195,0.01955193222619207,-0.0012940322295803702,0.020845964455772435,0.028749028924016574,0.030388676344387827,0.0037400235070724546,0.02664865283731536,0.008653628533514595,0.01083674411819573,0.00503405573665284,0.005802688381542895,0.013860456425613977,0.01221015444778511,-0.0030935338029706,0.015303688250755735,0.0010240233595764149,0.001419597857718475,0.0007094478137543751,0.001126284045578805,0.00107647296880568,0.001144720321633955,0.01260068277146061,0.010975136619898079,0.013304011767428205,0.04523863805619778,0.044657001926330445,0.044368312691034965,0.03263795528473713,0.033681865306432315,0.031064300923606698,0.014266002792184878,0.01542251819181469,0.014196334249738374
