target,feature,corr,n
car_mm_1q_m10_p10_pct,news__nw_lm_pos_prop__pre,0.06557615112997557,400
car_mm_1q_m10_p10_pct,tr__tr_lm_unc_prop__qa__all,-0.06495274415526019,400
car_mm_1q_m10_p10_pct,news__nw_lm_unc_prop__post,-0.06024924188724786,400
car_mm_1q_m10_p10_pct,news__nw_lm_lit_prop__all,-0.05035756995444347,400
car_mm_1q_m10_p10_pct,news__nw_lm_constr_prop__post,-0.049383507283616006,400
car_mm_1q_m10_p10_pct,news__nw_lm_unc_prop__all,-0.04862797831354876,400
car_mm_1q_m10_p10_pct,tr__tr_lm_lit_prop__prepared__all,0.04844080546713379,400
car_mm_1q_m10_p10_pct,news__nw_lm_unc_prop__post_minus_pre,-0.04734813225344727,400
car_mm_1q_m10_p10_pct,news__nw_lm_tone__pre,0.046187891077240195,400
car_mm_1q_m10_p10_pct,tr__tr_lm_pos_prop__qa__all,0.04230103069530163,400
car_mm_1q_m10_p10_pct,tr__tr_lm_neg_prop__all__all,-0.03614641887462424,400
car_mm_1q_m10_p10_pct,tr__tr_lm_tone__qa__all,0.035058600686901975,400
car_mm_1q_m10_p10_pct,news__nw_lm_lit_prop__post_minus_pre,-0.03419442125915126,400
car_mm_1q_m10_p10_pct,news__nw_lm_lit_prop__pre,-0.03282124900421506,400
car_mm_1q_m10_p10_pct,tr__tr_lm_tone__all__all,0.03207456280661617,400
car_mm_1q_m10_p10_pct,tr__tr_lm_unc_prop__prepared__all,-0.027536644481240012,400
car_mm_1q_m10_p10_pct,news__nw_lm_constr_prop__post_minus_pre,0.023236826656352495,400
car_mm_1q_m10_p10_pct,tr__tr_lm_constr_prop__all__all,-0.02280089731738182,400
car_mm_1q_m10_p10_pct,news__nw_lm_neg_prop__pre,-0.021349302414557462,400
car_mm_1q_m10_p10_pct,tr__tr_lm_pos_prop__all__all,0.01904629878811168,400
car_mm_1q_m10_p10_pct,tr__tr_lm_neg_prop__prepared__all,-0.016350135505949003,400
car_mm_1q_m10_p10_pct,tr__tr_lm_lit_prop__all__all,0.015565143063094264,400
car_mm_1q_m10_p10_pct,tr__tr_lm_constr_prop__qa__all,-0.01434954086315012,400
car_mm_1q_m10_p10_pct,tr__tr_lm_pos_prop__prepared__all,-0.01317185285793635,400
car_mm_1q_m10_p10_pct,tr__tr_lm_neg_prop__qa__all,-0.008690770163063985,400
car_mm_1q_m10_p10_pct,tr__tr_lm_constr_prop__prepared__all,0.005855020423166552,400
car_mm_1q_m10_p10_pct,tr__tr_lm_lit_prop__qa__all,0.0035823677633259575,400
car_mm_1q_m10_p10_pct,tr__tr_lm_tone__prepared__all,-0.00322270291995464,400
car_mm_1q_m10_p10_pct,news__nw_lm_unc_prop__pre,-0.00027242918011215173,400
car_simple_m5_p5_pct,news__nw_lm_tone__post,0.3002862848187657,400
car_simple_m5_p5_pct,news__nw_lm_neg_prop__post,-0.25819172075977687,400
car_simple_m5_p5_pct,news__nw_lm_tone__post_minus_pre,0.22666865388209143,400
car_simple_m5_p5_pct,news__nw_lm_tone__all,0.2241117399607294,400
car_simple_m5_p5_pct,news__nw_lm_pos_prop__post,0.22251935435548323,400
car_simple_m5_p5_pct,news__nw_lm_pos_prop__all,0.2179044417184279,400
