ticker,earnings_date,announce_timing,day0_date,date,offset,open,high,low,close,adj_close,volume
MA,2021-04-29,bmo,2021-04-29,2021-05-11,8,361.010009765625,368.9299926757813,359.2699890136719,367.6099853515625,357.6875305175781,3073100.0
MA,2021-04-29,bmo,2021-04-29,2021-05-12,9,364.75,365.3800048828125,355.6400146484375,356.6199951171875,346.9941711425781,3293200.0
MA,2021-04-29,bmo,2021-04-29,2021-05-13,10,359.3299865722656,362.8399963378906,357.9200134277344,360.0199890136719,350.3023986816406,2626000.0
MA,2021-07-29,bmo,2021-07-29,2021-07-15,-10,390.1400146484375,393.2999877929687,387.4500122070313,390.2300109863281,380.1443786621094,3773000.0
MA,2021-07-29,bmo,2021-07-29,2021-07-16,-9,393.1499938964844,393.4599914550781,385.3299865722656,387.1199951171875,377.1146545410156,2706500.0
MA,2021-07-29,bmo,2021-07-29,2021-07-19,-8,378.0,378.6000061035156,363.3699951171875,365.4500122070313,356.0047607421875,6814400.0
MA,2021-07-29,bmo,2021-07-29,2021-07-20,-7,367.0,376.6000061035156,365.2699890136719,374.3900146484375,364.7136840820313,3542200.0
MA,2021-07-29,bmo,2021-07-29,2021-07-21,-6,376.0299987792969,380.8999938964844,375.0499877929687,380.05999755859375,370.2371215820313,2393100.0
MA,2021-07-29,bmo,2021-07-29,2021-07-22,-5,380.2999877929687,382.8599853515625,377.0499877929687,382.1600036621094,372.2828674316406,4180300.0
MA,2021-07-29,bmo,2021-07-29,2021-07-23,-4,385.0899963378906,394.5,385.0899963378906,393.260009765625,383.0959777832031,3720300.0
MA,2021-07-29,bmo,2021-07-29,2021-07-26,-3,391.6700134277344,392.8900146484375,388.2699890136719,392.7999877929687,382.6478576660156,2285800.0
MA,2021-07-29,bmo,2021-07-29,2021-07-27,-2,390.0,395.2799987792969,385.8900146484375,390.2699890136719,380.1832580566406,2783800.0
MA,2021-07-29,bmo,2021-07-29,2021-07-28,-1,391.6199951171875,391.7300109863281,382.3299865722656,383.44000244140625,373.5298156738281,3372600.0
MA,2021-07-29,bmo,2021-07-29,2021-07-29,0,387.5,394.739990234375,387.5,388.80999755859375,378.760986328125,3774000.0
MA,2021-07-29,bmo,2021-07-29,2021-07-30,1,389.0,389.0,383.0799865722656,385.94000244140625,375.9651794433594,2533300.0
MA,2021-07-29,bmo,2021-07-29,2021-08-02,2,389.2999877929687,389.9800109863281,373.7999877929687,375.260009765625,365.5611877441406,3430300.0
MA,2021-07-29,bmo,2021-07-29,2021-08-03,3,376.6600036621094,376.6700134277344,359.57000732421875,367.6000061035156,358.0992126464844,6328500.0
MA,2021-07-29,bmo,2021-07-29,2021-08-04,4,367.2799987792969,369.260009765625,363.4299926757813,368.010009765625,358.4986267089844,3203200.0
MA,2021-07-29,bmo,2021-07-29,2021-08-05,5,368.2000122070313,371.9599914550781,367.0,371.94000244140625,362.3270263671875,2562400.0
MA,2021-07-29,bmo,2021-07-29,2021-08-06,6,371.4200134277344,375.5,371.0,374.5299987792969,364.8500671386719,2038500.0
MA,2021-07-29,bmo,2021-07-29,2021-08-09,7,374.19000244140625,374.5,368.8900146484375,370.6799926757813,361.09954833984375,2400800.0
MA,2021-07-29,bmo,2021-07-29,2021-08-10,8,372.2900085449219,372.75,364.1099853515625,367.8399963378906,358.33294677734375,3225000.0
MA,2021-07-29,bmo,2021-07-29,2021-08-11,9,368.5499877929687,369.9599914550781,363.75,364.239990234375,354.8260498046875,3267700.0
MA,2021-07-29,bmo,2021-07-29,2021-08-12,10,362.5700073242187,363.2200012207031,357.8500061035156,361.9800109863281,352.6244201660156,3802900.0
MA,2021-10-28,bmo,2021-10-28,2021-10-14,-10,343.8399963378906,345.80999755859375,340.8299865722656,344.5799865722656,336.09832763671875,4083800.0
MA,2021-10-28,bmo,2021-10-28,2021-10-15,-9,349.0,356.6099853515625,347.739990234375,356.0,347.2372131347656,4053600.0
MA,2021-10-28,bmo,2021-10-28,2021-10-18,-8,353.9599914550781,359.94000244140625,350.2300109863281,358.44000244140625,349.6170959472656,3280900.0
MA,2021-10-28,bmo,2021-10-28,2021-10-19,-7,358.3999938964844,362.2900085449219,357.6099853515625,362.1000061035156,353.18701171875,2835400.0
MA,2021-10-28,bmo,2021-10-28,2021-10-20,-6,361.7000122070313,362.489990234375,356.0,356.7699890136719,347.9881591796875,2796200.0
MA,2021-10-28,bmo,2021-10-28,2021-10-21,-5,354.6000061035156,356.3800048828125,347.2699890136719,356.2099914550781,347.4419860839844,2516300.0
MA,2021-10-28,bmo,2021-10-28,2021-10-22,-4,356.67999267578125,361.6400146484375,354.8999938964844,358.6700134277344,349.8414611816406,2774400.0
MA,2021-10-28,bmo,2021-10-28,2021-10-25,-3,362.4599914550781,364.2999877929687,358.7900085449219,360.8599853515625,351.97747802734375,2447900.0
MA,2021-10-28,bmo,2021-10-28,2021-10-26,-2,363.3800048828125,367.3500061035156,356.80999755859375,357.32000732421875,348.524658203125,3320100.0
MA,2021-10-28,bmo,2021-10-28,2021-10-27,-1,348.0,351.1199951171875,333.79998779296875,335.7200012207031,327.4563903808594,9652700.0
MA,2021-10-28,bmo,2021-10-28,2021-10-28,0,344.1700134277344,350.489990234375,328.8699951171875,333.0299987792969,324.83258056640625,9505100.0
MA,2021-10-28,bmo,2021-10-28,2021-10-29,1,331.239990234375,338.1499938964844,331.1099853515625,335.5199890136719,327.2612609863281,5843700.0
MA,2021-10-28,bmo,2021-10-28,2021-11-01,2,335.25,340.8999938964844,332.8800048828125,334.04998779296875,325.8274841308594,5126200.0
MA,2021-10-28,bmo,2021-10-28,2021-11-02,3,335.1300048828125,335.7699890136719,326.70001220703125,328.4800109863281,320.3945617675781,5375300.0
MA,2021-10-28,bmo,2021-10-28,2021-11-03,4,328.5,329.5799865722656,323.3399963378906,329.42999267578125,321.3211364746094,3952500.0
MA,2021-10-28,bmo,2021-10-28,2021-11-04,5,331.07000732421875,338.6300048828125,329.3299865722656,335.42999267578125,327.1734619140625,4819500.0
MA,2021-10-28,bmo,2021-10-28,2021-11-05,6,342.44000244140625,350.1600036621094,341.0,348.7900085449219,340.2045593261719,7201500.0
MA,2021-10-28,bmo,2021-10-28,2021-11-08,7,348.010009765625,353.1499938964844,347.6600036621094,349.6700134277344,341.06298828125,3862200.0
MA,2021-10-28,bmo,2021-10-28,2021-11-09,8,350.0,350.20001220703125,339.6499938964844,344.6499938964844,336.16650390625,4247800.0
MA,2021-10-28,bmo,2021-10-28,2021-11-10,9,350.1000061035156,359.6199951171875,349.5,357.94000244140625,349.12939453125,6337100.0
MA,2021-10-28,bmo,2021-10-28,2021-11-11,10,358.3800048828125,359.6400146484375,352.57000732421875,354.3399963378906,345.61798095703125,4472200.0
MA,2022-01-27,bmo,2022-01-27,2022-01-12,-10,368.94000244140625,372.1199951171875,367.0700073242187,367.30999755859375,358.7388916015625,5783100.0
MA,2022-01-27,bmo,2022-01-27,2022-01-13,-9,368.6099853515625,377.6799926757813,367.8800048828125,369.5199890136719,360.8973083496094,3892900.0
MA,2022-01-27,bmo,2022-01-27,2022-01-14,-8,364.3200073242187,374.7799987792969,364.1499938964844,372.1400146484375,363.4562683105469,4029900.0
MA,2022-01-27,bmo,2022-01-27,2022-01-18,-7,370.7900085449219,372.1400146484375,365.2000122070313,366.2999877929687,357.7524719238281,4933900.0
MA,2022-01-27,bmo,2022-01-27,2022-01-19,-6,362.4100036621094,369.2999877929687,359.7099914550781,360.7300109863281,352.3124084472656,4464800.0
MA,2022-01-27,bmo,2022-01-27,2022-01-20,-5,361.8299865722656,373.0700073242187,361.6700134277344,364.0,355.5061340332031,5043200.0
MA,2022-01-27,bmo,2022-01-27,2022-01-21,-4,362.5,368.1300048828125,354.1099853515625,355.0799865722656,346.79425048828125,4867100.0
MA,2022-01-27,bmo,2022-01-27,2022-01-24,-3,342.57000732421875,350.1000061035156,330.5899963378906,349.4200134277344,341.2664489746094,7472800.0
MA,2022-01-27,bmo,2022-01-27,2022-01-25,-2,343.32000732421875,347.0400085449219,333.3900146484375,338.760009765625,330.85516357421875,6994400.0
MA,2022-01-27,bmo,2022-01-27,2022-01-26,-1,343.3599853515625,354.7699890136719,341.25,344.6600036621094,336.61749267578125,7438600.0
MA,2022-01-27,bmo,2022-01-27,2022-01-27,0,349.0799865722656,359.6300048828125,334.3299865722656,350.5299987792969,342.3504943847656,8416100.0
MA,2022-01-27,bmo,2022-01-27,2022-01-28,1,359.04998779296875,382.7699890136719,355.3800048828125,382.510009765625,373.5842895507813,8813400.0
MA,2022-01-27,bmo,2022-01-27,2022-01-31,2,378.6799926757813,386.5499877929687,376.2900085449219,386.3800048828125,377.3639526367187,6345200.0
MA,2022-01-27,bmo,2022-01-27,2022-02-01,3,385.760009765625,395.5,382.4200134277344,392.05999755859375,382.9113464355469,5841100.0
MA,2022-01-27,bmo,2022-01-27,2022-02-02,4,389.2900085449219,399.9200134277344,382.75,396.75,387.4920043945313,6115000.0
MA,2022-01-27,bmo,2022-01-27,2022-02-03,5,388.5400085449219,392.94000244140625,386.489990234375,390.0700073242187,380.9678649902344,4209200.0
MA,2022-01-27,bmo,2022-01-27,2022-02-04,6,387.5700073242187,388.1499938964844,376.4100036621094,382.2000122070313,373.2814636230469,6045400.0
MA,2022-01-27,bmo,2022-01-27,2022-02-07,7,382.2000122070313,382.3999938964844,373.30999755859375,376.1300048828125,367.35308837890625,4767500.0
MA,2022-01-27,bmo,2022-01-27,2022-02-08,8,377.5400085449219,379.7699890136719,370.5400085449219,374.3699951171875,365.6341247558594,5825300.0
MA,2022-01-27,bmo,2022-01-27,2022-02-09,9,385.6000061035156,388.4500122070313,380.6000061035156,381.3699951171875,372.4707946777344,5492800.0
MA,2022-01-27,bmo,2022-01-27,2022-02-10,10,371.7200012207031,380.0,370.55999755859375,374.3900146484375,365.6536560058594,3995000.0
MA,2022-04-28,bmo,2022-04-28,2022-04-13,-10,344.4100036621094,357.0,342.8699951171875,355.1400146484375,347.33428955078125,3048500.0
MA,2022-04-28,bmo,2022-04-28,2022-04-14,-9,357.17999267578125,362.9500122070313,356.8699951171875,357.82000732421875,349.95538330078125,3358900.0
MA,2022-04-28,bmo,2022-04-28,2022-04-18,-8,353.989990234375,360.760009765625,353.2200012207031,356.79998779296875,348.95770263671875,1871400.0
MA,2022-04-28,bmo,2022-04-28,2022-04-19,-7,356.80999755859375,364.6700134277344,356.07000732421875,363.8699951171875,355.87237548828125,2999300.0
MA,2022-04-28,bmo,2022-04-28,2022-04-20,-6,366.6600036621094,371.8900146484375,363.8699951171875,365.2900085449219,357.26116943359375,3377300.0
MA,2022-04-28,bmo,2022-04-28,2022-04-21,-5,369.4800109863281,375.2200012207031,363.4599914550781,364.44000244140625,356.42987060546875,3605300.0
MA,2022-04-28,bmo,2022-04-28,2022-04-22,-4,360.5,362.1000061035156,350.6099853515625,351.17999267578125,343.4613037109375,2968800.0
MA,2022-04-28,bmo,2022-04-28,2022-04-25,-3,349.2799987792969,355.05999755859375,347.1499938964844,354.6000061035156,346.80615234375,3380400.0
MA,2022-04-28,bmo,2022-04-28,2022-04-26,-2,347.94000244140625,350.05999755859375,343.5799865722656,344.1099853515625,336.54669189453125,3116400.0
MA,2022-04-28,bmo,2022-04-28,2022-04-27,-1,357.0,373.739990234375,356.0,361.5700073242187,353.6229248046875,5702300.0
MA,2022-04-28,bmo,2022-04-28,2022-04-28,0,369.1300048828125,381.9700012207031,368.7900085449219,378.8299865722656,370.5035705566406,6843300.0
MA,2022-04-28,bmo,2022-04-28,2022-04-29,1,372.0499877929687,377.1199951171875,361.75,363.3800048828125,355.39312744140625,4741800.0
MA,2022-04-28,bmo,2022-04-28,2022-05-02,2,363.0,364.9299926757813,350.5899963378906,359.0400085449219,351.14849853515625,3903800.0
MA,2022-04-28,bmo,2022-04-28,2022-05-03,3,361.5899963378906,363.44000244140625,353.44000244140625,357.7900085449219,349.926025390625,2686900.0
MA,2022-04-28,bmo,2022-04-28,2022-05-04,4,359.3699951171875,369.239990234375,353.6600036621094,368.5199890136719,360.4201354980469,3346600.0
