2026-02-07T22:54:29.886446-05:00 | HD 2022-08-16: coverage incomplete; retrying per-day mode
2026-02-07T22:54:37.199442-05:00 | HD 2022-08-16: missing pre-window coverage; earliest=2022-08-05 start=2022-08-02
2026-02-07T22:54:37.200215-05:00 | HD 2022-08-16: missing post-window coverage; latest=2022-08-28 end=2022-08-30
2026-02-07T22:54:41.645735-05:00 | HD 2024-08-13: missing post-window coverage; latest=2024-08-26 end=2024-08-27
2026-02-07T22:54:41.648423-05:00 | HD 2024-08-13: coverage incomplete; retrying per-day mode
2026-02-07T22:54:49.759639-05:00 | HD 2024-08-13: missing post-window coverage; latest=2024-08-26 end=2024-08-27
2026-02-07T22:54:50.306991-05:00 | HD 2024-11-12: missing post-window coverage; latest=2024-11-23 end=2024-11-26
2026-02-07T22:54:50.310574-05:00 | HD 2024-11-12: coverage incomplete; retrying per-day mode
2026-02-07T22:54:57.488793-05:00 | HD 2024-11-12: missing post-window coverage; latest=2024-11-23 end=2024-11-26
2026-02-07T22:54:58.034329-05:00 | HD 2025-02-25: missing post-window coverage; latest=2025-03-10 end=2025-03-11
2026-02-07T22:54:58.037345-05:00 | HD 2025-02-25: coverage incomplete; retrying per-day mode
2026-02-07T22:55:05.106792-05:00 | HD 2025-02-25: missing post-window coverage; latest=2025-03-10 end=2025-03-11
2026-02-07T22:55:28.658548-05:00 | JNJ 2024-01-23: missing post-window coverage; latest=2024-02-05 end=2024-02-06
2026-02-07T22:55:28.662157-05:00 | JNJ 2024-01-23: coverage incomplete; retrying per-day mode
2026-02-07T22:55:36.788765-05:00 | JNJ 2024-01-23: missing post-window coverage; latest=2024-02-05 end=2024-02-06
2026-02-07T22:55:38.639948-05:00 | JNJ 2024-10-15: missing post-window coverage; latest=2024-10-28 end=2024-10-29
2026-02-07T22:55:38.642537-05:00 | JNJ 2024-10-15: coverage incomplete; retrying per-day mode
2026-02-07T22:55:45.765437-05:00 | JNJ 2024-10-15: missing post-window coverage; latest=2024-10-28 end=2024-10-29
2026-02-07T22:55:47.705520-05:00 | JNJ 2025-04-15: missing post-window coverage; latest=2025-04-28 end=2025-04-29
2026-02-07T22:55:47.708584-05:00 | JNJ 2025-04-15: coverage incomplete; retrying per-day mode
2026-02-07T22:55:55.409895-05:00 | JNJ 2025-04-15: missing post-window coverage; latest=2025-04-28 end=2025-04-29
2026-02-07T22:56:10.720138-05:00 | ORCL 2021-06-15: missing pre-window coverage; earliest=2021-06-03 start=2021-06-01
2026-02-07T22:56:10.722438-05:00 | ORCL 2021-06-15: coverage incomplete; retrying per-day mode
2026-02-07T22:56:18.210439-05:00 | ORCL 2021-06-15: missing pre-window coverage; earliest=2021-06-03 start=2021-06-01
2026-02-07T22:56:19.357232-05:00 | ORCL 2021-12-09: missing pre-window coverage; earliest=2021-11-29 start=2021-11-25
2026-02-07T22:56:19.359678-05:00 | ORCL 2021-12-09: coverage incomplete; retrying per-day mode
2026-02-07T22:56:26.270063-05:00 | ORCL 2021-12-09: missing pre-window coverage; earliest=2021-11-29 start=2021-11-25
2026-02-07T22:56:27.395547-05:00 | ORCL 2022-06-13: missing pre-window coverage; earliest=2022-05-31 start=2022-05-30
2026-02-07T22:56:27.396708-05:00 | ORCL 2022-06-13: coverage incomplete; retrying per-day mode
2026-02-07T22:56:34.550497-05:00 | ORCL 2022-06-13: missing pre-window coverage; earliest=2022-05-31 start=2022-05-30
2026-02-07T22:56:35.228812-05:00 | ORCL 2022-09-12: missing pre-window coverage; earliest=2022-08-31 start=2022-08-29
2026-02-07T22:56:35.229684-05:00 | ORCL 2022-09-12: missing post-window coverage; latest=2022-09-21 end=2022-09-26
2026-02-07T22:56:35.231173-05:00 | ORCL 2022-09-12: coverage incomplete; retrying per-day mode
2026-02-07T22:56:41.088421-05:00 | ORCL 2022-09-12: missing pre-window coverage; earliest=2022-08-31 start=2022-08-29
2026-02-07T22:56:41.089216-05:00 | ORCL 2022-09-12: missing post-window coverage; latest=2022-09-21 end=2022-09-26
2026-02-07T22:56:41.661644-05:00 | ORCL 2022-12-12: missing pre-window coverage; earliest=2022-11-30 start=2022-11-28
2026-02-07T22:56:41.662746-05:00 | ORCL 2022-12-12: missing post-window coverage; latest=2022-12-24 end=2022-12-26
2026-02-07T22:56:41.664548-05:00 | ORCL 2022-12-12: coverage incomplete; retrying per-day mode
2026-02-07T22:56:48.300818-05:00 | ORCL 2022-12-12: missing pre-window coverage; earliest=2022-11-30 start=2022-11-28
2026-02-07T22:56:48.301341-05:00 | ORCL 2022-12-12: missing post-window coverage; latest=2022-12-24 end=2022-12-26
2026-02-07T22:56:48.919106-05:00 | ORCL 2023-03-09: missing pre-window coverage; earliest=2023-02-24 start=2023-02-23
2026-02-07T22:56:48.920924-05:00 | ORCL 2023-03-09: coverage incomplete; retrying per-day mode
2026-02-07T22:56:58.021755-05:00 | ORCL 2023-03-09: missing pre-window coverage; earliest=2023-02-24 start=2023-02-23
2026-02-07T22:56:58.626869-05:00 | ORCL 2023-06-12: missing pre-window coverage; earliest=2023-05-30 start=2023-05-29
2026-02-07T22:56:58.629641-05:00 | ORCL 2023-06-12: coverage incomplete; retrying per-day mode
2026-02-07T22:57:05.864728-05:00 | ORCL 2023-06-12: missing pre-window coverage; earliest=2023-05-30 start=2023-05-29
2026-02-07T22:57:06.671161-05:00 | ORCL 2023-09-11: missing post-window coverage; latest=2023-09-23 end=2023-09-25
2026-02-07T22:57:06.674349-05:00 | ORCL 2023-09-11: coverage incomplete; retrying per-day mode
2026-02-07T22:57:15.421807-05:00 | ORCL 2023-09-11: missing post-window coverage; latest=2023-09-23 end=2023-09-25
2026-02-07T22:57:16.140952-05:00 | ORCL 2023-12-11: missing post-window coverage; latest=2023-12-21 end=2023-12-25
2026-02-07T22:57:16.143215-05:00 | ORCL 2023-12-11: coverage incomplete; retrying per-day mode
2026-02-07T22:57:25.563274-05:00 | ORCL 2023-12-11: missing post-window coverage; latest=2023-12-21 end=2023-12-25
2026-02-07T22:57:28.648060-05:00 | ORCL 2024-09-09: missing pre-window coverage; earliest=2024-08-27 start=2024-08-26
2026-02-07T22:57:28.652048-05:00 | ORCL 2024-09-09: coverage incomplete; retrying per-day mode
