y_type,window,feature,corr,abs_corr
car_simple_pct,p0_p5,est_epsLow,0.018,0.018
car_simple_pct,p0_p5,est_numAnalystsRevenue,-0.027,0.027
car_simple_pct,p0_p5,est_numAnalystsEps,-0.057,0.057
ret_pct,m1_p1,px_-5,-0.074,0.074
ret_pct,m1_p1,px_-1,-0.082,0.082
ret_pct,m1_p1,px_+0,-0.009,0.009
ret_pct,m1_p1,px_+1,0.004,0.004
ret_pct,m1_p1,px_+5,0.006,0.006
ret_pct,m1_p1,px_+10,0.009,0.009
ret_pct,m1_p1,logpct_m5_p5,0.774,0.774
ret_pct,m1_p1,logpct_m1_p1,0.997,0.997
ret_pct,m1_p1,logpct_p0_p1,0.423,0.423
ret_pct,m1_p1,logpct_p0_p5,0.247,0.247
ret_pct,m1_p1,logpct_p0_p10,0.186,0.186
ret_pct,m1_p1,sur_quarter_rank,0.003,0.003
ret_pct,m1_p1,sur_actual_revenue,-0.069,0.069
ret_pct,m1_p1,sur_actual_ebitda,-0.048,0.048
ret_pct,m1_p1,sur_actual_ebit,-0.049,0.049
ret_pct,m1_p1,sur_actual_netIncome,-0.048,0.048
ret_pct,m1_p1,sur_actual_eps,-0.033,0.033
ret_pct,m1_p1,sur_est_revenue,-0.071,0.071
ret_pct,m1_p1,sur_est_ebitda,-0.003,0.003
ret_pct,m1_p1,sur_est_ebit,-0.061,0.061
ret_pct,m1_p1,sur_est_netIncome,-0.027,0.027
ret_pct,m1_p1,sur_est_eps,-0.041,0.041
ret_pct,m1_p1,sur_surprise_revenue,0.013,0.013
ret_pct,m1_p1,sur_surprise_revenue_pct,0.031,0.031
ret_pct,m1_p1,sur_surprise_ebitda,-0.074,0.074
ret_pct,m1_p1,sur_surprise_ebitda_pct,-0.055,0.055
ret_pct,m1_p1,sur_surprise_ebit,0.013,0.013
ret_pct,m1_p1,sur_surprise_ebit_pct,-0.037,0.037
ret_pct,m1_p1,sur_surprise_netIncome,-0.012,0.012
ret_pct,m1_p1,sur_surprise_netIncome_pct,-0.039,0.039
