ticker,earnings_date,day0_date,nw_lm_constr_prop__all,nw_lm_constr_prop__post,nw_lm_constr_prop__pre,nw_lm_lit_prop__all,nw_lm_lit_prop__post,nw_lm_lit_prop__pre,nw_lm_neg_prop__all,nw_lm_neg_prop__post,nw_lm_neg_prop__pre,nw_lm_pos_prop__all,nw_lm_pos_prop__post,nw_lm_pos_prop__pre,nw_lm_tone__all,nw_lm_tone__post,nw_lm_tone__pre,nw_lm_unc_prop__all,nw_lm_unc_prop__post,nw_lm_unc_prop__pre,nw_n_tokens__all,nw_n_tokens__post,nw_n_tokens__pre,nw_lm_pos_prop__post_minus_pre,nw_lm_neg_prop__post_minus_pre,nw_lm_unc_prop__post_minus_pre,nw_lm_lit_prop__post_minus_pre,nw_lm_constr_prop__post_minus_pre,nw_lm_tone__post_minus_pre
AMD,2023-08-01,2023-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.02219927723283428,0.02410575427682737,0.018433179723502304,0.036654620547238,0.03732503888024884,0.03533026113671275,0.014455343314403717,0.013219284603421462,0.016897081413210446,0.01600413009808983,0.01866251944012442,0.010752688172043012,1937.0,1286.0,651.0,0.00199477774353609,0.005672574553325066,0.007909831268081407,0.0,0.0,-0.0036777968097889847
AMD,2023-10-31,2023-11-01,0.0005509641873278236,0.0007434944237918215,0.0,0.001652892561983471,0.0007434944237918215,0.00425531914893617,0.026446280991735537,0.0275092936802974,0.023404255319148935,0.03415977961432507,0.04014869888475837,0.01702127659574468,0.007713498622589532,0.012639405204460967,-0.006382978723404255,0.023140495867768594,0.021561338289962824,0.027659574468085105,1815.0,1345.0,470.0,0.023127422289013686,0.004105038361148464,-0.006098236178122281,-0.003511824725144349,0.0007434944237918215,0.019022383927865223
AMD,2024-01-30,2024-01-31,0.0006020469596628537,0.0010746910263299302,0.0,0.0009030704394942806,0.0016120365394948952,0.0,0.01715833835039133,0.02418054809242343,0.008213552361396304,0.03552077062010837,0.03277807630306287,0.039014373716632446,0.01836243226971704,0.008597528210639442,0.030800821355236138,0.016556291390728478,0.016120365394948953,0.017111567419575632,3322.0,1861.0,1461.0,-0.006236297413569576,0.015966995731027125,-0.0009912020246266792,0.0016120365394948952,0.0010746910263299302,-0.022203293144596695
AMD,2024-04-30,2024-05-01,0.0003429355281207133,0.0006169031462060457,0.0,0.0006858710562414266,0.0012338062924120913,0.0,0.022290809327846366,0.019123997532387416,0.026254826254826256,0.03292181069958848,0.033312769895126465,0.032432432432432434,0.010631001371742112,0.01418877236273905,0.006177606177606178,0.015089163237311385,0.014805675508945095,0.015444015444015444,2916.0,1621.0,1295.0,0.0008803374626940308,-0.00713082872243884,-0.0006383399350703492,0.0012338062924120913,0.0006169031462060457,0.008011166185132871
AMD,2024-07-30,2024-07-31,0.0010796221322537112,0.0012345679012345679,0.000784313725490196,0.0018893387314439945,0.002880658436213992,0.0,0.024831309041835357,0.027983539094650206,0.018823529411764704,0.04129554655870445,0.047325102880658436,0.02980392156862745,0.016464237516869096,0.01934156378600823,0.010980392156862745,0.013765182186234818,0.011111111111111112,0.018823529411764704,3705.0,2430.0,1275.0,0.017521181312030985,0.009160009682885502,-0.007712418300653593,0.002880658436213992,0.00045025417574437183,0.008361171629145485
AMD,2024-10-29,2024-10-30,0.0010862480990658267,0.0011487650775416428,0.0008920606601248885,0.0017379969585053225,0.0017231476163124641,0.001784121320249777,0.027156202476645665,0.02469844916714532,0.03479036574487065,0.035628937649359115,0.03331418724870764,0.042818911685994644,0.008472735172713448,0.00861573808156232,0.008028545941123996,0.009993482511405605,0.011200459506031017,0.006244424620874219,4603.0,3482.0,1121.0,-0.009504724437287004,-0.010091916577725329,0.0049560348851567975,-6.097370393731293e-05,0.0002567044174167542,0.0005871921404383244
AMD,2025-02-04,2025-02-05,0.0007499062617172854,0.0009427292010370022,0.0,0.0011248593925759281,0.0014140938015555031,0.0,0.028683914510686165,0.03063869903370257,0.021081576535288724,0.0369328833895763,0.03723780344096159,0.035747021081576534,0.008248968878890138,0.0065991044072590144,0.01466544454628781,0.015935508061492312,0.01720480791892529,0.010999083409715857,5334.0,4243.0,1091.0,0.0014907823593850525,0.009557122498413846,0.006205724509209433,0.0014140938015555031,0.0009427292010370022,-0.008066340139028795
AMD,2025-05-06,2025-05-07,0.002791996277338297,0.00296794618124258,0.0021536252692031586,0.0018613308515588647,0.0019786307874950534,0.0014357501794687725,0.02047463936714751,0.018796992481203006,0.02656137832017229,0.0383123933612533,0.041353383458646614,0.027279253409906678,0.017837753994105785,0.022556390977443608,0.0007178750897343862,0.019233752132774933,0.016422635536208943,0.029432878679109833,6447.0,5054.0,1393.0,0.014074130048739936,-0.007764385838969285,-0.01301024314290089,0.0005428806080262809,0.0008143209120394213,0.02183851588770922
AMD,2025-08-05,2025-08-06,0.002993232691306611,0.0034357316087308,0.0021929824561403508,0.0013014055179593961,0.0014147130153597412,0.0010964912280701754,0.01965122332118688,0.02122069523039612,0.016812865497076022,0.03162415408641333,0.029911075181891674,0.034722222222222224,0.011972930765226444,0.008690379951495554,0.017909356725146198,0.014575741801145237,0.013945028294260307,0.015716374269005847,7684.0,4948.0,2736.0,-0.00481114704033055,0.004407829733320098,-0.00177134597474554,0.00031822178728956583,0.0012427491525904494,-0.009218976773650644
AMD,2025-11-04,2025-11-05,0.0014139827179890023,0.0014019627478469858,0.0014577259475218659,0.00204241948153967,0.0014019627478469858,0.004373177842565598,0.021209740769835034,0.020428600040056078,0.024052478134110787,0.028908091123330714,0.028239535349489284,0.03134110787172012,0.007698350353495679,0.007810935309433206,0.007288629737609329,0.013040062843676354,0.01341878630082115,0.011661807580174927,6365.0,4993.0,1372.0,-0.0031015725222308353,-0.003623878094054709,0.0017569787206462226,-0.002971215094718612,-5.576319967488005e-05,0.0005223055718238771
