ticker,earnings_date,day0_date,phase,n_tokens,n_tokens_raw,lm_pos,lm_neg,lm_unc,lm_lit,lm_constr,lm_strong,lm_weak,lm_complex,lm_pos_prop,lm_neg_prop,lm_unc_prop,lm_lit_prop,lm_constr_prop,lm_tone
AMD,2021-10-26,2021-10-27,all,1230.0,2155.0,52.0,12.0,8.0,0.0,1.0,7.0,7.0,4.0,0.04227642276422764,0.00975609756097561,0.0065040650406504065,0.0,0.0008130081300813008,0.032520325203252036
AMD,2022-02-01,2022-02-02,all,2239.0,3867.0,75.0,35.0,49.0,4.0,3.0,12.0,33.0,3.0,0.033497096918267084,0.01563197856185797,0.02188476998660116,0.001786511835640911,0.0013398838767306833,0.01786511835640911
AMD,2022-05-03,2022-05-04,all,1734.0,2953.0,51.0,32.0,27.0,0.0,1.0,10.0,24.0,4.0,0.029411764705882353,0.01845444059976932,0.015570934256055362,0.0,0.0005767012687427913,0.010957324106113034
AMD,2022-08-02,2022-08-03,all,1229.0,2174.0,52.0,35.0,16.0,0.0,1.0,13.0,8.0,1.0,0.04231082180634662,0.028478437754271765,0.013018714401952807,0.0,0.0008136696501220504,0.013832384052074858
AMD,2022-11-01,2022-11-02,all,1427.0,2474.0,49.0,35.0,17.0,1.0,1.0,9.0,10.0,4.0,0.03433777154870357,0.02452697967764541,0.011913104414856343,0.000700770847932726,0.000700770847932726,0.009810791871058164
AMD,2023-01-31,2023-02-01,all,1213.0,2168.0,47.0,37.0,21.0,2.0,0.0,12.0,16.0,5.0,0.038746908491343775,0.030502885408079144,0.01731244847485573,0.0016488046166529267,0.0,0.008244023083264633
AMD,2023-05-02,2023-05-03,all,2093.0,3645.0,61.0,46.0,39.0,0.0,4.0,18.0,33.0,6.0,0.029144768275203056,0.02197802197802198,0.018633540372670808,0.0,0.0019111323459149545,0.00716674629718108
AMD,2023-08-01,2023-08-02,all,2554.0,4547.0,87.0,56.0,50.0,1.0,2.0,26.0,31.0,5.0,0.034064212999216914,0.02192638997650744,0.01957713390759593,0.00039154267815191856,0.0007830853563038371,0.012137823022709476
AMD,2023-10-31,2023-11-01,all,2252.0,4051.0,75.0,54.0,47.0,3.0,5.0,20.0,27.0,5.0,0.03330373001776199,0.023978685612788632,0.020870337477797513,0.0013321492007104796,0.002220248667850799,0.009325044404973356
AMD,2024-01-30,2024-01-31,all,4592.0,8190.0,157.0,70.0,74.0,5.0,2.0,32.0,49.0,10.0,0.03418989547038327,0.01524390243902439,0.016114982578397212,0.0010888501742160278,0.00043554006968641115,0.018945993031358885
AMD,2024-04-30,2024-05-01,all,3799.0,6692.0,125.0,74.0,59.0,3.0,1.0,25.0,45.0,5.0,0.03290339563042906,0.019478810213214005,0.015530402737562517,0.0007896814951302974,0.00026322716504343247,0.013424585417215057
AMD,2024-07-30,2024-07-31,all,4355.0,7726.0,173.0,102.0,62.0,7.0,7.0,37.0,41.0,14.0,0.03972445464982778,0.023421354764638348,0.01423650975889782,0.0016073478760045925,0.0016073478760045925,0.016303099885189437
AMD,2024-10-29,2024-10-30,all,5117.0,9100.0,180.0,142.0,53.0,9.0,8.0,32.0,32.0,22.0,0.035176861442251316,0.02775063513777604,0.010357631424662889,0.0017588430721125659,0.0015634160641000586,0.0074262263044752785
AMD,2025-02-04,2025-02-05,all,5982.0,10758.0,228.0,158.0,96.0,7.0,4.0,34.0,50.0,15.0,0.03811434302908726,0.026412571046472752,0.0160481444332999,0.001170177198261451,0.0006686726847208291,0.01170177198261451
AMD,2025-05-06,2025-05-07,all,6917.0,12475.0,264.0,144.0,136.0,12.0,18.0,39.0,80.0,24.0,0.038166835333236955,0.020818273818129247,0.0196617030504554,0.0017348561515107706,0.002602284227266156,0.017348561515107705
AMD,2025-08-05,2025-08-06,all,8897.0,16328.0,276.0,178.0,149.0,11.0,29.0,63.0,78.0,20.0,0.031021692705406317,0.020006743846240307,0.016747218163425875,0.0012363718107227155,0.003259525682814432,0.011014948859166011
AMD,2025-11-04,2025-11-05,all,7517.0,13150.0,228.0,144.0,92.0,15.0,9.0,35.0,46.0,20.0,0.030331249168551285,0.019156578422242915,0.012238925103099641,0.001995476918983637,0.0011972861513901822,0.011174670746308367
