earnings_date,fiscalYear,period,transcript_dir,symbol,fiscal_period_end,calendarYear,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
2023-07-26,2023,Q2,data/META/transcripts/2023-07-26,META,2023-06-30,2023,2.32478861000635,2.32478861000635,0.9620333545001838,35.188287133972935,0,35.18828713397294,46.8242220353238,-11.635934901350865,0.8142129441545048,0.29350917216163,0.29041532547892124,0.24338260570642833,0.16194985472936618,0.03767998142127264,0.058105093521744644,0.05313208913428411,0.8380501452706338,0.9894591141396933,0.29350917216163,0.175230298807865,0.27021703610304926,0.12060492733654823,0.21273296485776882,80.96551724137932,0.47791153570048045,1.5420679981795529,2.557669251059068,1.9220821209182024,0,0.3171232062158091,0.1548178897662177,6.7402647975077885,4.319704049844237,20.812305295950157,0.0,0.5409231538485577,0.6408804668091744,0.47791153570048045,0.0,2.7845881595881594,2.7845881595881594,0.0,5.498382040243821,5.498382040243821,23.03086471452233,23.657057010785824,66.43510682412332,42.57696227396152,42.57696227396152,0.6375865365102033,23.03086471452233,0.0,61.86815492021277,5.498382040243821
2023-10-25,2023,Q3,data/META/transcripts/2023-10-25,META,2023-09-30,2023,2.5671612459467426,2.5671612459467426,1.2082801087419344,34.11702688455456,0,34.11702688455456,63.36231884057971,-29.24529195602515,0.8181338956246705,0.4026240262402624,0.4105898201839161,0.33921982076963625,0.1738231098430813,0.05355706187521385,0.08107200100788813,0.07401624825700026,0.8261768901569186,1.0197846959557755,0.4026240262402624,0.16745887161656048,0.2534908625142609,0.11399885895718609,0.2022279300910157,98.90647482014388,0.5633266145732667,1.5137499737529134,2.637978986402967,1.4204025617566332,0,0.3258050665521683,0.1578830557533499,7.920031055900621,5.380046583850931,23.727872670807454,0.0,0.5974931177883207,0.6792961474365258,0.5633266145732667,0.0,3.1181415252942077,3.1181415252942077,0.0,5.412785900765015,5.412785900765015,22.648068880688808,16.69129241129241,55.80063208023667,37.90515439662778,37.90515439662778,0.34404500684500683,22.648068880688808,0.0,45.4029827241744,5.412785900765015
2024-02-01,2023,Q4,data/META/transcripts/2024-02-01,META,2023-12-31,2023,2.6709949937421777,2.6709949937421777,1.3098247809762202,36.279574181645934,0,36.279574181645934,56.71345029239766,-20.433876110751726,0.8081573633167959,0.4084665054473835,0.4190122410311386,0.3494552616489242,0.1660022609626941,0.06104353657952383,0.09151389324140813,0.08288855273875233,0.8339977390373059,1.02581787109375,0.4084665054473835,0.16215274602282873,0.2430925519690797,0.10716804719241284,0.19555466854339765,120.47058823529412,0.5211365955846806,1.499157787527421,2.480734739315975,1.5869251392039596,0,0.36504036184599703,0.17468197872164373,7.561964146531567,4.574824629773968,25.48830865159782,0.0,0.48375757273565856,0.604978354978355,0.5211365955846806,0.0,2.5315068493150683,2.5315068493150683,0.0,5.929837563982033,5.929837563982033,22.6436977387749,16.19928230006421,77.37127182894625,46.80794475365904,46.80794475365904,0.7593413578155097,22.6436977387749,0.0,44.92335868754661,5.929837563982033
2024-04-24,2024,Q1,data/META/transcripts/2024-04-24,META,2024-03-31,2024,2.680687520017081,2.680687520017081,1.149674388811786,33.155945686462765,0,33.15594568646276,51.3027108433735,-18.14676515691074,0.8178576326978466,0.3790426553284872,0.389054999314223,0.33929502125908656,0.12789959811041388,0.05550519646030407,0.08271973998354834,0.07095505358344074,0.8721004018895862,1.026414821247648,0.3790426553284872,0.16887598499398682,0.25167693223388105,0.10950117916100907,0.20107179876256934,108.80314960629921,0.5114128557383147,1.4903062282232877,2.714445271779598,1.7542932628797887,0,0.3241510541244676,0.1635897758072912,7.562278978388998,5.0475442043222,22.836935166994106,0.10291858678955453,0.5279385543821149,0.6674633690117427,0.5114128557383147,0.0,3.0071875,2.5082757721881923,0.10291858678955453,8.362830955868093,8.362830955868093,34.302173913043475,25.274592731829575,97.34436789662152,64.97379975059752,64.97379975059752,-2.2999879385964923,34.302173913043475,0.0010180044034888043,71.01400983940285,8.362830955868093
2024-07-31,2024,Q2,data/META/transcripts/2024-07-31,META,2024-06-30,2024,2.8303584654125316,2.8303584654125316,1.18667604799289,33.41224949450999,0,33.41224949450999,39.076354679802954,-5.664105185292961,0.8129559007959868,0.38000051188861306,0.3866294694274526,0.34462900872770086,0.10863233152389778,0.058482961109808114,0.08589399284269886,0.07305372132615606,0.8913676684761022,1.0174446016030174,0.38000051188861306,0.16500751396381136,0.2423467272251743,0.10498880971955787,0.1950717315177095,115.9921875,0.5098575978521229,1.4687011603503377,2.693622888659083,2.303183107469272,0,0.33389165676782007,0.16969831218130804,7.644041041831097,4.418705603788477,22.92028413575375,0.09402153731897513,0.4957641217271122,0.5780588538977801,0.5098575978521229,0.0,2.3699987764590724,2.0521241656955187,0.09402153731897513,8.157914303757902,8.157914303757902,32.73167106037726,23.744135165243225,114.21444315441636,66.02267010841507,66.02267010841507,2.5643665978462753,32.73167106037726,0.000989944850219311,68.08357373748079,8.157914303757902
2024-10-30,2024,Q3,data/META/transcripts/2024-10-30,META,2024-09-30,2024,2.7322832283228324,2.7322832283228324,1.3156915691569158,32.59503806450024,0,32.59503806450024,93.42915254237288,-60.83411447787264,0.8183005247727216,0.4274557146024785,0.4390844810170243,0.3865086599817685,0.11973964762652901,0.061183738416898066,0.09535097156124452,0.07777548660109916,0.880260352373471,1.0272046109510087,0.4274557146024785,0.1912849833078531,0.2981055011578506,0.14907008978443462,0.2296465895044387,83.41346153846153,0.504087915672722,1.5584365066340888,2.761156462585034,0.9632967607105538,0,0.3196638681934884,0.15829849302673862,9.776196124950573,6.51087386318703,28.0347963621985,0.08050739418663946,0.6091305526127768,0.6659925578385375,0.504087915672722,0.0,2.9939452651973846,2.596786051885306,0.08050739418663946,8.799061320496692,8.799061320496692,35.66731774618739,23.070193141254464,87.92060974128509,58.55447176832229,58.55447176832229,1.3764351188770905,35.66731774618739,0.0008724178607186749,65.87005304438502,8.799061320496692
2025-01-29,2024,Q4,data/META/transcripts/2025-01-29,META,2024-12-31,2024,2.9778842719371355,2.9778842719371355,1.3063757590189309,31.61020977575695,0,31.610209775756946,78.27016630840593,-46.65995653264899,0.8173194171747442,0.48287692466673554,0.48676242637180944,0.43067066239537044,0.115234375,0.07548523115042709,0.11409517239113652,0.09636308144090935,0.884765625,1.0080465673686012,0.48287692466673554,0.1777188521086454,0.2686202686202686,0.1363169916250124,0.21174205967276227,93.08366533864542,0.570485120260905,1.5114900047635473,2.8471813581263974,1.1498634057499675,0,0.35507235741333254,0.17527367833829613,11.044988161010261,5.35240726124704,30.708366219415943,0.06094634801804396,0.5784437325617443,0.4846005430898957,0.570485120260905,0.0,1.9402426343154247,1.783243071041733,0.06094634801804396,8.123667931470623,8.123667931470623,30.664097137542626,17.800200835012955,109.391900022119,53.011374160354436,53.011374160354436,0.546342797906338,30.664097137542626,0.0008559783760720641,52.6785316491526,8.123667931470623
2025-04-30,2025,Q1,data/META/transcripts/2025-04-30,META,2025-03-31,2025,2.6623487754499853,2.6623487754499853,0.8483328415461788,30.870633832774022,0,30.870633832774022,101.17274167987321,-70.30210784709921,0.8210521340454696,0.414874509618566,0.4344188684596115,0.39334499220116276,0.09454901534109456,0.059397672484859734,0.0899534667538602,0.07126821287496499,0.9054509846589055,1.0471090857305612,0.414874509618566,0.17671913865523728,0.2676283177231677,0.1348044029215648,0.2111252280982997,73.14583333333333,0.4851875037864254,1.5144274681266179,2.9153920352762848,0.8895676691729323,0,0.2838494150477622,0.15100655572725033,9.50771666007123,4.386624455876533,27.79184804115552,0.07984859408795962,0.5678026185186936,0.46137517689170066,0.4851875037864254,0.0,1.8565798624526697,1.6836720392431674,0.07984859408795962,7.871532138205363,7.871532138205363,34.42032707850829,21.87667808219178,131.39032205683355,60.62023308082911,60.62023308082911,-1.103228796537524,34.42032707850829,0.0009124853621281582,65.59056566912352,7.871532138205363
2025-07-30,2025,Q2,data/META/transcripts/2025-07-30,META,2025-06-30,2025,1.9732743600053613,1.9732743600053613,0.3218067283206005,31.3681707214412,0,31.368170721441196,108.86703568484278,-77.49886496340159,0.821302298173247,0.43019193534809325,0.4321491708056234,0.38591211381429413,0.10699327943897925,0.06221331053388703,0.09400215307325575,0.0794013339082268,0.8930067205610207,1.004549679565579,0.43019193534809325,0.16814591645631463,0.25406264417901264,0.12877062286178775,0.2025916690512202,84.81742738589212,0.5157586763518966,1.5109652945096632,2.869150413622366,0.8266965241943336,0,0.29204491674912875,0.16121108487365307,10.151310563939635,3.5833995234312948,18.693804606830817,0.0723673447128756,0.5379451132250189,0.3529987089706976,0.5157586763518966,0.0,1.5455919700084653,1.4307864539602575,0.0723673447128756,9.527403598708156,9.527403598708156,39.113364340432696,25.338258984566725,205.97479995566886,72.7088384648488,72.7088384648488,2.419987343598472,39.113364340432696,0.0007140126000463747,75.48933471354063,9.527403598708156
2025-10-29,2025,Q3,data/META/transcripts/2025-10-29,META,2025-09-30,2025,1.9784079225066291,1.9784079225066291,0.2756372098057254,30.37996175012685,0,30.37996175012685,76.23506408863784,-45.85510233851099,0.820342687639046,0.4007454822216151,0.42275867452480387,0.05286678896217946,0.8749480681346073,0.008915759402851463,0.013959168530293817,0.07694296441177131,0.1250519318653926,1.0549306062819577,0.4007454822216151,0.16804676083779835,0.2631063658755269,0.12935845670704352,0.20830103701769703,90.46255506607929,0.5875244810027419,1.5656735337462513,2.9624790426085448,1.180559117722493,0,0.2884565586967046,0.16864575242558683,11.91855383392928,4.437822804926499,17.65911799761621,0.4909560723514212,0.5854377268646813,0.37234574485816196,0.5875244810027419,0.0,1.5932338414148388,1.488119450369562,0.4909560723514212,9.524772293961847,9.524772293961847,36.07264470551501,170.58272978959027,165.48204655326768,61.61653588452948,61.61653588452948,-2.0029714078519634,36.07264470551501,0.0007195278105776063,70.35740736602986,9.524772293961847
