ticker,earnings_date,day0_date,phase,n_tokens,n_tokens_raw,lm_pos,lm_neg,lm_unc,lm_lit,lm_constr,lm_strong,lm_weak,lm_complex,lm_pos_prop,lm_neg_prop,lm_unc_prop,lm_lit_prop,lm_constr_prop,lm_tone
MU,2024-03-20,2024-03-21,pre,978.0,1628.0,34.0,10.0,9.0,0.0,1.0,7.0,5.0,0.0,0.034764826175869123,0.010224948875255624,0.009202453987730062,0.0,0.0010224948875255625,0.024539877300613498
MU,2024-06-26,2024-06-27,post,1949.0,3272.0,85.0,50.0,21.0,0.0,4.0,8.0,11.0,6.0,0.04361210877373012,0.025654181631605953,0.0107747562852745,0.0,0.002052334530528476,0.017957927142124165
MU,2024-06-26,2024-06-27,pre,1345.0,2275.0,64.0,16.0,18.0,0.0,5.0,4.0,11.0,3.0,0.04758364312267658,0.011895910780669145,0.013382899628252789,0.0,0.0037174721189591076,0.035687732342007436
MU,2024-09-25,2024-09-26,post,2610.0,4379.0,122.0,61.0,35.0,1.0,4.0,7.0,14.0,15.0,0.04674329501915709,0.023371647509578545,0.013409961685823755,0.0003831417624521073,0.0015325670498084292,0.023371647509578545
MU,2024-09-25,2024-09-26,pre,1428.0,2373.0,52.0,40.0,28.0,0.0,2.0,9.0,18.0,0.0,0.036414565826330535,0.028011204481792718,0.0196078431372549,0.0,0.0014005602240896359,0.008403361344537815
MU,2024-12-18,2024-12-19,post,2576.0,4553.0,100.0,179.0,30.0,32.0,3.0,13.0,10.0,3.0,0.03881987577639751,0.06948757763975155,0.011645962732919254,0.012422360248447204,0.0011645962732919255,-0.030667701863354036
MU,2024-12-18,2024-12-19,pre,1151.0,1889.0,33.0,24.0,24.0,1.0,2.0,10.0,15.0,5.0,0.028670721112076455,0.020851433536055605,0.020851433536055605,0.0008688097306689834,0.0017376194613379669,0.007819287576020852
MU,2025-03-20,2025-03-21,post,1673.0,2719.0,76.0,31.0,25.0,9.0,2.0,11.0,10.0,8.0,0.045427375971309025,0.01852958756724447,0.014943215780035863,0.005379557680812911,0.001195457262402869,0.026897788404064555
MU,2025-03-20,2025-03-21,pre,2538.0,4323.0,48.0,137.0,26.0,154.0,1.0,7.0,11.0,66.0,0.018912529550827423,0.05397951142631994,0.01024428684003152,0.06067769897557131,0.0003940110323089047,-0.035066981875492516
MU,2025-06-25,2025-06-26,post,2357.0,3959.0,93.0,25.0,44.0,1.0,0.0,11.0,17.0,2.0,0.03945693678404752,0.010606703436571913,0.018667798048366567,0.00042426813746287653,0.0,0.028850233347475603
MU,2025-06-25,2025-06-26,pre,1590.0,2689.0,60.0,19.0,31.0,6.0,1.0,12.0,15.0,0.0,0.03773584905660377,0.011949685534591196,0.01949685534591195,0.0037735849056603774,0.0006289308176100629,0.02578616352201258
MU,2025-09-23,2025-09-24,post,2705.0,4396.0,132.0,34.0,28.0,2.0,5.0,11.0,16.0,5.0,0.048798521256931605,0.012569316081330868,0.010351201478743069,0.0007393715341959334,0.0018484288354898336,0.03622920517560074
MU,2025-09-23,2025-09-24,pre,1498.0,2453.0,61.0,16.0,24.0,1.0,0.0,11.0,12.0,0.0,0.04072096128170895,0.010680907877169559,0.01602136181575434,0.0006675567423230974,0.0,0.030040053404539385
MU,2025-12-17,2025-12-18,post,4740.0,7845.0,153.0,67.0,71.0,6.0,3.0,19.0,31.0,4.0,0.032278481012658226,0.014135021097046414,0.014978902953586498,0.0012658227848101266,0.0006329113924050633,0.018143459915611813
MU,2025-12-17,2025-12-18,pre,3478.0,5794.0,86.0,54.0,42.0,2.0,2.0,9.0,11.0,5.0,0.024726854514088556,0.015526164462334674,0.012075905692926969,0.0005750431282346176,0.0005750431282346176,0.009200690051753882
MU,2021-03-31,2021-04-01,all,944.0,1508.0,34.0,17.0,11.0,0.0,0.0,4.0,10.0,3.0,0.036016949152542374,0.018008474576271187,0.011652542372881356,0.0,0.0,0.018008474576271187
MU,2021-06-30,2021-07-01,all,1277.0,2141.0,46.0,11.0,14.0,0.0,2.0,10.0,9.0,6.0,0.036021926389976505,0.008613938919342208,0.01096319498825372,0.0,0.0015661707126076742,0.0274079874706343
MU,2021-09-28,2021-09-29,all,912.0,1420.0,22.0,20.0,11.0,0.0,0.0,7.0,7.0,4.0,0.02412280701754386,0.021929824561403508,0.01206140350877193,0.0,0.0,0.0021929824561403508
MU,2021-12-20,2021-12-21,all,949.0,1543.0,48.0,9.0,11.0,6.0,2.0,7.0,7.0,3.0,0.0505795574288725,0.009483667017913594,0.011591148577449948,0.006322444678609062,0.002107481559536354,0.0410958904109589
MU,2022-03-29,2022-03-30,all,1185.0,1959.0,44.0,18.0,9.0,11.0,3.0,14.0,6.0,1.0,0.03713080168776371,0.015189873417721518,0.007594936708860759,0.009282700421940928,0.002531645569620253,0.021940928270042195
MU,2022-06-30,2022-07-01,all,1437.0,2347.0,32.0,49.0,18.0,1.0,4.0,13.0,13.0,8.0,0.022268615170494086,0.03409881697981907,0.012526096033402923,0.0006958942240779402,0.0027835768963117608,-0.011830201809324982
MU,2022-09-29,2022-09-30,all,1398.0,2296.0,24.0,67.0,23.0,2.0,4.0,8.0,16.0,4.0,0.017167381974248927,0.04792560801144492,0.016452074391988557,0.001430615164520744,0.002861230329041488,-0.030758226037195996
MU,2022-12-21,2022-12-22,all,968.0,1619.0,13.0,75.0,19.0,2.0,0.0,7.0,11.0,1.0,0.013429752066115703,0.07747933884297521,0.01962809917355372,0.002066115702479339,0.0,-0.0640495867768595
MU,2023-03-28,2023-03-29,all,1722.0,2795.0,36.0,67.0,34.0,4.0,6.0,7.0,22.0,3.0,0.020905923344947737,0.038908246225319396,0.019744483159117306,0.0023228803716608595,0.003484320557491289,-0.018002322880371662
