table,diff_col,base_pre,base_post,rows,diff_non_null,missing_pre_only,missing_post_only,missing_both,have_both_pre_post
GOOGL__lm_news_wide,nw_lm_pos_prop__post_minus_pre,nw_lm_pos_prop__pre,nw_lm_pos_prop__post,20,20,0,0,0,20
GOOGL__lm_news_wide,nw_lm_neg_prop__post_minus_pre,nw_lm_neg_prop__pre,nw_lm_neg_prop__post,20,20,0,0,0,20
GOOGL__lm_news_wide,nw_lm_unc_prop__post_minus_pre,nw_lm_unc_prop__pre,nw_lm_unc_prop__post,20,20,0,0,0,20
GOOGL__lm_news_wide,nw_lm_lit_prop__post_minus_pre,nw_lm_lit_prop__pre,nw_lm_lit_prop__post,20,20,0,0,0,20
GOOGL__lm_news_wide,nw_lm_constr_prop__post_minus_pre,nw_lm_constr_prop__pre,nw_lm_constr_prop__post,20,20,0,0,0,20
GOOGL__lm_news_wide,nw_lm_tone__post_minus_pre,nw_lm_tone__pre,nw_lm_tone__post,20,20,0,0,0,20
HD__lm_news_wide,nw_lm_pos_prop__post_minus_pre,nw_lm_pos_prop__pre,nw_lm_pos_prop__post,20,20,0,0,0,20
HD__lm_news_wide,nw_lm_neg_prop__post_minus_pre,nw_lm_neg_prop__pre,nw_lm_neg_prop__post,20,20,0,0,0,20
HD__lm_news_wide,nw_lm_unc_prop__post_minus_pre,nw_lm_unc_prop__pre,nw_lm_unc_prop__post,20,20,0,0,0,20
HD__lm_news_wide,nw_lm_lit_prop__post_minus_pre,nw_lm_lit_prop__pre,nw_lm_lit_prop__post,20,20,0,0,0,20
HD__lm_news_wide,nw_lm_constr_prop__post_minus_pre,nw_lm_constr_prop__pre,nw_lm_constr_prop__post,20,20,0,0,0,20
HD__lm_news_wide,nw_lm_tone__post_minus_pre,nw_lm_tone__pre,nw_lm_tone__post,20,20,0,0,0,20
JNJ__lm_news_wide,nw_lm_pos_prop__post_minus_pre,nw_lm_pos_prop__pre,nw_lm_pos_prop__post,20,20,0,0,0,20
JNJ__lm_news_wide,nw_lm_neg_prop__post_minus_pre,nw_lm_neg_prop__pre,nw_lm_neg_prop__post,20,20,0,0,0,20
JNJ__lm_news_wide,nw_lm_unc_prop__post_minus_pre,nw_lm_unc_prop__pre,nw_lm_unc_prop__post,20,20,0,0,0,20
JNJ__lm_news_wide,nw_lm_lit_prop__post_minus_pre,nw_lm_lit_prop__pre,nw_lm_lit_prop__post,20,20,0,0,0,20
JNJ__lm_news_wide,nw_lm_constr_prop__post_minus_pre,nw_lm_constr_prop__pre,nw_lm_constr_prop__post,20,20,0,0,0,20
JNJ__lm_news_wide,nw_lm_tone__post_minus_pre,nw_lm_tone__pre,nw_lm_tone__post,20,20,0,0,0,20
JPM__lm_news_wide,nw_lm_pos_prop__post_minus_pre,nw_lm_pos_prop__pre,nw_lm_pos_prop__post,20,20,0,0,0,20
JPM__lm_news_wide,nw_lm_neg_prop__post_minus_pre,nw_lm_neg_prop__pre,nw_lm_neg_prop__post,20,20,0,0,0,20
JPM__lm_news_wide,nw_lm_unc_prop__post_minus_pre,nw_lm_unc_prop__pre,nw_lm_unc_prop__post,20,20,0,0,0,20
JPM__lm_news_wide,nw_lm_lit_prop__post_minus_pre,nw_lm_lit_prop__pre,nw_lm_lit_prop__post,20,20,0,0,0,20
JPM__lm_news_wide,nw_lm_constr_prop__post_minus_pre,nw_lm_constr_prop__pre,nw_lm_constr_prop__post,20,20,0,0,0,20
JPM__lm_news_wide,nw_lm_tone__post_minus_pre,nw_lm_tone__pre,nw_lm_tone__post,20,20,0,0,0,20
LLY__lm_news_wide,nw_lm_pos_prop__post_minus_pre,nw_lm_pos_prop__pre,nw_lm_pos_prop__post,20,20,0,0,0,20
LLY__lm_news_wide,nw_lm_neg_prop__post_minus_pre,nw_lm_neg_prop__pre,nw_lm_neg_prop__post,20,20,0,0,0,20
LLY__lm_news_wide,nw_lm_unc_prop__post_minus_pre,nw_lm_unc_prop__pre,nw_lm_unc_prop__post,20,20,0,0,0,20
LLY__lm_news_wide,nw_lm_lit_prop__post_minus_pre,nw_lm_lit_prop__pre,nw_lm_lit_prop__post,20,20,0,0,0,20
LLY__lm_news_wide,nw_lm_constr_prop__post_minus_pre,nw_lm_constr_prop__pre,nw_lm_constr_prop__post,20,20,0,0,0,20
LLY__lm_news_wide,nw_lm_tone__post_minus_pre,nw_lm_tone__pre,nw_lm_tone__post,20,20,0,0,0,20
MA__lm_news_wide,nw_lm_pos_prop__post_minus_pre,nw_lm_pos_prop__pre,nw_lm_pos_prop__post,20,20,0,0,0,20
MA__lm_news_wide,nw_lm_neg_prop__post_minus_pre,nw_lm_neg_prop__pre,nw_lm_neg_prop__post,20,20,0,0,0,20
MA__lm_news_wide,nw_lm_unc_prop__post_minus_pre,nw_lm_unc_prop__pre,nw_lm_unc_prop__post,20,20,0,0,0,20
MA__lm_news_wide,nw_lm_lit_prop__post_minus_pre,nw_lm_lit_prop__pre,nw_lm_lit_prop__post,20,20,0,0,0,20
MA__lm_news_wide,nw_lm_constr_prop__post_minus_pre,nw_lm_constr_prop__pre,nw_lm_constr_prop__post,20,20,0,0,0,20
MA__lm_news_wide,nw_lm_tone__post_minus_pre,nw_lm_tone__pre,nw_lm_tone__post,20,20,0,0,0,20
META__lm_news_wide,nw_lm_pos_prop__post_minus_pre,nw_lm_pos_prop__pre,nw_lm_pos_prop__post,20,20,0,0,0,20
META__lm_news_wide,nw_lm_neg_prop__post_minus_pre,nw_lm_neg_prop__pre,nw_lm_neg_prop__post,20,20,0,0,0,20
META__lm_news_wide,nw_lm_unc_prop__post_minus_pre,nw_lm_unc_prop__pre,nw_lm_unc_prop__post,20,20,0,0,0,20
META__lm_news_wide,nw_lm_lit_prop__post_minus_pre,nw_lm_lit_prop__pre,nw_lm_lit_prop__post,20,20,0,0,0,20
META__lm_news_wide,nw_lm_constr_prop__post_minus_pre,nw_lm_constr_prop__pre,nw_lm_constr_prop__post,20,20,0,0,0,20
META__lm_news_wide,nw_lm_tone__post_minus_pre,nw_lm_tone__pre,nw_lm_tone__post,20,20,0,0,0,20
MSFT__lm_news_wide,nw_lm_pos_prop__post_minus_pre,nw_lm_pos_prop__pre,nw_lm_pos_prop__post,20,20,0,0,0,20
MSFT__lm_news_wide,nw_lm_neg_prop__post_minus_pre,nw_lm_neg_prop__pre,nw_lm_neg_prop__post,20,20,0,0,0,20
MSFT__lm_news_wide,nw_lm_unc_prop__post_minus_pre,nw_lm_unc_prop__pre,nw_lm_unc_prop__post,20,20,0,0,0,20
MSFT__lm_news_wide,nw_lm_lit_prop__post_minus_pre,nw_lm_lit_prop__pre,nw_lm_lit_prop__post,20,20,0,0,0,20
MSFT__lm_news_wide,nw_lm_constr_prop__post_minus_pre,nw_lm_constr_prop__pre,nw_lm_constr_prop__post,20,20,0,0,0,20
MSFT__lm_news_wide,nw_lm_tone__post_minus_pre,nw_lm_tone__pre,nw_lm_tone__post,20,20,0,0,0,20
MU__lm_news_wide,nw_lm_pos_prop__post_minus_pre,nw_lm_pos_prop__pre,nw_lm_pos_prop__post,20,20,0,0,0,20
MU__lm_news_wide,nw_lm_neg_prop__post_minus_pre,nw_lm_neg_prop__pre,nw_lm_neg_prop__post,20,20,0,0,0,20
MU__lm_news_wide,nw_lm_unc_prop__post_minus_pre,nw_lm_unc_prop__pre,nw_lm_unc_prop__post,20,20,0,0,0,20
MU__lm_news_wide,nw_lm_lit_prop__post_minus_pre,nw_lm_lit_prop__pre,nw_lm_lit_prop__post,20,20,0,0,0,20
MU__lm_news_wide,nw_lm_constr_prop__post_minus_pre,nw_lm_constr_prop__pre,nw_lm_constr_prop__post,20,20,0,0,0,20
MU__lm_news_wide,nw_lm_tone__post_minus_pre,nw_lm_tone__pre,nw_lm_tone__post,20,20,0,0,0,20
NVDA__lm_news_wide,nw_lm_pos_prop__post_minus_pre,nw_lm_pos_prop__pre,nw_lm_pos_prop__post,20,20,0,0,0,20
NVDA__lm_news_wide,nw_lm_neg_prop__post_minus_pre,nw_lm_neg_prop__pre,nw_lm_neg_prop__post,20,20,0,0,0,20
NVDA__lm_news_wide,nw_lm_unc_prop__post_minus_pre,nw_lm_unc_prop__pre,nw_lm_unc_prop__post,20,20,0,0,0,20
NVDA__lm_news_wide,nw_lm_lit_prop__post_minus_pre,nw_lm_lit_prop__pre,nw_lm_lit_prop__post,20,20,0,0,0,20
NVDA__lm_news_wide,nw_lm_constr_prop__post_minus_pre,nw_lm_constr_prop__pre,nw_lm_constr_prop__post,20,20,0,0,0,20
NVDA__lm_news_wide,nw_lm_tone__post_minus_pre,nw_lm_tone__pre,nw_lm_tone__post,20,20,0,0,0,20
ORCL__lm_news_wide,nw_lm_pos_prop__post_minus_pre,nw_lm_pos_prop__pre,nw_lm_pos_prop__post,20,20,0,0,0,20
ORCL__lm_news_wide,nw_lm_neg_prop__post_minus_pre,nw_lm_neg_prop__pre,nw_lm_neg_prop__post,20,20,0,0,0,20
ORCL__lm_news_wide,nw_lm_unc_prop__post_minus_pre,nw_lm_unc_prop__pre,nw_lm_unc_prop__post,20,20,0,0,0,20
ORCL__lm_news_wide,nw_lm_lit_prop__post_minus_pre,nw_lm_lit_prop__pre,nw_lm_lit_prop__post,20,20,0,0,0,20
ORCL__lm_news_wide,nw_lm_constr_prop__post_minus_pre,nw_lm_constr_prop__pre,nw_lm_constr_prop__post,20,20,0,0,0,20
ORCL__lm_news_wide,nw_lm_tone__post_minus_pre,nw_lm_tone__pre,nw_lm_tone__post,20,20,0,0,0,20
TSLA__lm_news_wide,nw_lm_pos_prop__post_minus_pre,nw_lm_pos_prop__pre,nw_lm_pos_prop__post,20,20,0,0,0,20
TSLA__lm_news_wide,nw_lm_neg_prop__post_minus_pre,nw_lm_neg_prop__pre,nw_lm_neg_prop__post,20,20,0,0,0,20
TSLA__lm_news_wide,nw_lm_unc_prop__post_minus_pre,nw_lm_unc_prop__pre,nw_lm_unc_prop__post,20,20,0,0,0,20
TSLA__lm_news_wide,nw_lm_lit_prop__post_minus_pre,nw_lm_lit_prop__pre,nw_lm_lit_prop__post,20,20,0,0,0,20
TSLA__lm_news_wide,nw_lm_constr_prop__post_minus_pre,nw_lm_constr_prop__pre,nw_lm_constr_prop__post,20,20,0,0,0,20
TSLA__lm_news_wide,nw_lm_tone__post_minus_pre,nw_lm_tone__pre,nw_lm_tone__post,20,20,0,0,0,20
V__lm_news_wide,nw_lm_pos_prop__post_minus_pre,nw_lm_pos_prop__pre,nw_lm_pos_prop__post,20,20,0,0,0,20
V__lm_news_wide,nw_lm_neg_prop__post_minus_pre,nw_lm_neg_prop__pre,nw_lm_neg_prop__post,20,20,0,0,0,20
V__lm_news_wide,nw_lm_unc_prop__post_minus_pre,nw_lm_unc_prop__pre,nw_lm_unc_prop__post,20,20,0,0,0,20
V__lm_news_wide,nw_lm_lit_prop__post_minus_pre,nw_lm_lit_prop__pre,nw_lm_lit_prop__post,20,20,0,0,0,20
V__lm_news_wide,nw_lm_constr_prop__post_minus_pre,nw_lm_constr_prop__pre,nw_lm_constr_prop__post,20,20,0,0,0,20
V__lm_news_wide,nw_lm_tone__post_minus_pre,nw_lm_tone__pre,nw_lm_tone__post,20,20,0,0,0,20
WMT__lm_news_wide,nw_lm_pos_prop__post_minus_pre,nw_lm_pos_prop__pre,nw_lm_pos_prop__post,20,20,0,0,0,20
WMT__lm_news_wide,nw_lm_neg_prop__post_minus_pre,nw_lm_neg_prop__pre,nw_lm_neg_prop__post,20,20,0,0,0,20
WMT__lm_news_wide,nw_lm_unc_prop__post_minus_pre,nw_lm_unc_prop__pre,nw_lm_unc_prop__post,20,20,0,0,0,20
WMT__lm_news_wide,nw_lm_lit_prop__post_minus_pre,nw_lm_lit_prop__pre,nw_lm_lit_prop__post,20,20,0,0,0,20
WMT__lm_news_wide,nw_lm_constr_prop__post_minus_pre,nw_lm_constr_prop__pre,nw_lm_constr_prop__post,20,20,0,0,0,20
WMT__lm_news_wide,nw_lm_tone__post_minus_pre,nw_lm_tone__pre,nw_lm_tone__post,20,20,0,0,0,20
