ticker,event_date,phase,publisher,n_units
AAPL,2021-07-27,post,foxbusiness.com,2
AAPL,2021-07-27,post,gurufocus.com,4
AAPL,2021-07-27,post,investopedia.com,3
AAPL,2021-07-27,post,investorplace.com,5
AAPL,2021-07-27,post,invezz.com,3
AAPL,2021-07-27,post,marketwatch.com,7
AAPL,2021-07-27,post,nypost.com,1
AAPL,2021-07-27,post,proactiveinvestors.co.uk,2
AAPL,2021-07-27,post,pymnts.com,3
AAPL,2021-07-27,post,reuters.com,6
AAPL,2021-07-27,post,schaeffersresearch.com,3
AAPL,2021-07-27,post,seeitmarket.com,1
AAPL,2021-07-27,post,seekingalpha.com,16
AAPL,2021-07-27,post,techcrunch.com,2
AAPL,2021-07-27,post,techxplore.com,1
AAPL,2021-07-27,post,zacks.com,18
AAPL,2021-07-27,pre,247wallst.com,5
AAPL,2021-07-27,pre,barrons.com,9
AAPL,2021-07-27,pre,benzinga.com,15
AAPL,2021-07-27,pre,businessinsider.com,3
AAPL,2021-07-27,pre,businesswire.com,2
AAPL,2021-07-27,pre,cnbc.com,13
AAPL,2021-07-27,pre,cnet.com,2
AAPL,2021-07-27,pre,deadline.com,1
AAPL,2021-07-27,pre,etftrends.com,2
AAPL,2021-07-27,pre,fool.com,20
AAPL,2021-07-27,pre,forbes.com,4
AAPL,2021-07-27,pre,foxbusiness.com,2
AAPL,2021-07-27,pre,freightwaves.com,1
AAPL,2021-07-27,pre,investopedia.com,2
AAPL,2021-07-27,pre,investorplace.com,9
AAPL,2021-07-27,pre,invezz.com,4
AAPL,2021-07-27,pre,markets.businessinsider.com,3
AAPL,2021-07-27,pre,marketwatch.com,13
AAPL,2021-07-27,pre,nypost.com,2
AAPL,2021-07-27,pre,nytimes.com,1
AAPL,2021-07-27,pre,proactiveinvestors.co.uk,2
AAPL,2021-07-27,pre,proactiveinvestors.com,3
AAPL,2021-07-27,pre,pulse2.com,2
AAPL,2021-07-27,pre,pymnts.com,2
AAPL,2021-07-27,pre,reuters.com,7
AAPL,2021-07-27,pre,schaeffersresearch.com,1
AAPL,2021-07-27,pre,seeitmarket.com,1
AAPL,2021-07-27,pre,seekingalpha.com,10
AAPL,2021-07-27,pre,techcrunch.com,2
AAPL,2021-07-27,pre,techxplore.com,1
AAPL,2021-07-27,pre,theguardian.com,2
AAPL,2021-07-27,pre,zacks.com,28
AAPL,2021-10-28,post,247wallst.com,1
AAPL,2021-10-28,post,barrons.com,6
AAPL,2021-10-28,post,benzinga.com,11
AAPL,2021-10-28,post,businessinsider.com,1
AAPL,2021-10-28,post,businesswire.com,4
AAPL,2021-10-28,post,cnbc.com,5
AAPL,2021-10-28,post,cnet.com,1
AAPL,2021-10-28,post,cnn.com,4
AAPL,2021-10-28,post,deadline.com,1
AAPL,2021-10-28,post,etftrends.com,1
AAPL,2021-10-28,post,fool.com,15
AAPL,2021-10-28,post,forbes.com,1
AAPL,2021-10-28,post,foxbusiness.com,3
AAPL,2021-10-28,post,gurufocus.com,3
AAPL,2021-10-28,post,investopedia.com,3
AAPL,2021-10-28,post,investorplace.com,8
AAPL,2021-10-28,post,invezz.com,5
AAPL,2021-10-28,post,markets.businessinsider.com,2
AAPL,2021-10-28,post,marketwatch.com,9
AAPL,2021-10-28,post,nypost.com,3
AAPL,2021-10-28,post,nytimes.com,1
AAPL,2021-10-28,post,proactiveinvestors.co.uk,4
AAPL,2021-10-28,post,proactiveinvestors.com,4
AAPL,2021-10-28,post,pymnts.com,2
AAPL,2021-10-28,post,reuters.com,14
AAPL,2021-10-28,post,schaeffersresearch.com,1
AAPL,2021-10-28,post,seeitmarket.com,1
AAPL,2021-10-28,post,seekingalpha.com,14
AAPL,2021-10-28,post,stockmarket.com,1
AAPL,2021-10-28,post,techcrunch.com,4
AAPL,2021-10-28,post,techxplore.com,4
AAPL,2021-10-28,post,theguardian.com,1
AAPL,2021-10-28,post,zacks.com,9
AAPL,2021-10-28,pre,247wallst.com,1
AAPL,2021-10-28,pre,barrons.com,1
AAPL,2021-10-28,pre,benzinga.com,16
AAPL,2021-10-28,pre,businessinsider.com,4
AAPL,2021-10-28,pre,businesswire.com,14
