y_type,window,feature,corr,abs_corr,n
car_mm_1y_pct,p0_p10,gro_growthEPSDiluted,0.0372,0.0372,384
car_mm_1y_pct,p0_p10,gro_growthEBIT,-0.0348,0.0348,384
car_mm_1y_pct,p0_p10,sur_surprise_ebitda_pct,0.0322,0.0322,383
car_mm_1y_pct,p0_p10,sur_surprise_eps_pct,-0.0317,0.0317,383
car_mm_1y_pct,p0_p10,gro_growthOtherAdjustmentsToNetIncome,-0.0308,0.0308,384
car_mm_1y_pct,p0_p10,gro_growthNetIncome,0.0284,0.0284,384
car_mm_1y_pct,p0_p10,gro_growthEBITDA,-0.027,0.027,384
car_mm_1y_pct,p0_p10,gro_growthNetIncomeFromContinuingOperations,0.0265,0.0265,384
car_mm_1y_pct,p0_p10,sur_surprise_revenue,-0.0222,0.0222,383
car_mm_1y_pct,p0_p10,gro_fiscalYear,-0.0169,0.0169,384
car_mm_1y_pct,p0_p10,gro_growthResearchAndDevelopmentExpenses,0.0162,0.0162,384
car_mm_1y_pct,p0_p10,sur_est_eps,-0.0161,0.0161,383
car_mm_1y_pct,p0_p10,est_epsAvg,-0.0161,0.0161,383
car_mm_1y_pct,p0_p10,est_epsLow,-0.0155,0.0155,383
car_mm_1y_pct,p0_p10,sur_actual_eps,-0.0121,0.0121,384
car_mm_1y_pct,p0_p10,est_epsHigh,-0.0104,0.0104,383
car_mm_1y_pct,p0_p10,gro_growthTotalOtherIncomeExpensesNet,-0.0096,0.0096,384
car_mm_1y_pct,p0_p10,gro_growthNetIncomeDeductions,-0.0094,0.0094,384
car_mm_1y_pct,p0_p10,sur_surprise_netIncome,0.0088,0.0088,383
car_mm_1y_pct,p0_p10,gro_growthRevenue,0.0083,0.0083,384
car_mm_1y_pct,p0_p10,gro_growthCostOfRevenue,-0.0077,0.0077,384
car_mm_1y_pct,p0_p10,gro_growthNetInterestIncome,0.0049,0.0049,384
car_mm_1y_pct,p0_p10,gro_growthIncomeTaxExpense,-0.0037,0.0037,384
car_mm_1y_pct,p0_p10,sur_quarter_rank,-0.0031,0.0031,384
car_mm_1y_pct,p0_p10,sur_surprise_revenue_pct,-0.0031,0.0031,383
car_mm_1y_pct,p0_p10,sur_surprise_eps,0.0031,0.0031,383
car_mm_1y_pct,p0_p10,gro_growthDepreciationAndAmortization,-0.0011,0.0011,384
car_mm_1y_pct,p0_p10,gro_growthOtherExpenses,-0.0008,0.0008,384
car_mm_1y_pct,p0_p5,sur_actual_ebit,-0.1563,0.1563,384
car_mm_1y_pct,p0_p5,sur_actual_ebitda,-0.153,0.153,384
car_mm_1y_pct,p0_p5,sur_actual_netIncome,-0.152,0.152,384
car_mm_1y_pct,p0_p5,est_ebitHigh,-0.1291,0.1291,383
car_mm_1y_pct,p0_p5,sur_est_ebit,-0.1265,0.1265,383
car_mm_1y_pct,p0_p5,est_ebitAvg,-0.1265,0.1265,383
car_mm_1y_pct,p0_p5,est_ebitLow,-0.1223,0.1223,383
car_mm_1y_pct,p0_p5,est_revenueHigh,-0.1218,0.1218,383
car_mm_1y_pct,p0_p5,est_netIncomeLow,-0.1218,0.1218,383
car_mm_1y_pct,p0_p5,sur_est_netIncome,-0.1212,0.1212,383
car_mm_1y_pct,p0_p5,est_netIncomeAvg,-0.1212,0.1212,383
car_mm_1y_pct,p0_p5,sur_est_revenue,-0.121,0.121,383
car_mm_1y_pct,p0_p5,est_revenueAvg,-0.121,0.121,383
car_mm_1y_pct,p0_p5,est_netIncomeHigh,-0.1202,0.1202,383
car_mm_1y_pct,p0_p5,est_revenueLow,-0.1194,0.1194,383
car_mm_1y_pct,p0_p5,sur_actual_revenue,-0.1192,0.1192,384
car_mm_1y_pct,p0_p5,sur_est_ebitda,-0.1135,0.1135,383
car_mm_1y_pct,p0_p5,est_ebitdaAvg,-0.1135,0.1135,383
car_mm_1y_pct,p0_p5,est_ebitdaHigh,-0.1133,0.1133,383
car_mm_1y_pct,p0_p5,est_ebitdaLow,-0.113,0.113,383
car_mm_1y_pct,p0_p5,sur_surprise_ebit,-0.1075,0.1075,383
car_mm_1y_pct,p0_p5,gro_growthGrossProfitRatio,0.0906,0.0906,384
car_mm_1y_pct,p0_p5,est_numAnalystsEps,-0.0902,0.0902,383
car_mm_1y_pct,p0_p5,gro_growthGrossProfit,0.086,0.086,384
car_mm_1y_pct,p0_p5,gro_growthCostAndExpenses,-0.0816,0.0816,384
car_mm_1y_pct,p0_p5,gro_growthNetIncome,0.0769,0.0769,384
car_mm_1y_pct,p0_p5,est_sgaExpenseAvg,-0.0764,0.0764,383
car_mm_1y_pct,p0_p5,est_sgaExpenseLow,-0.0763,0.0763,383
car_mm_1y_pct,p0_p5,est_sgaExpenseHigh,-0.0761,0.0761,383
car_mm_1y_pct,p0_p5,gro_growthOperatingExpenses,-0.0741,0.0741,384
car_mm_1y_pct,p0_p5,gro_growthNetIncomeFromContinuingOperations,0.0722,0.0722,384
car_mm_1y_pct,p0_p5,gro_growthWeightedAverageShsOutDil,0.0705,0.0705,384
car_mm_1y_pct,p0_p5,gro_growthWeightedAverageShsOut,0.0657,0.0657,384
car_mm_1y_pct,p0_p5,est_numAnalystsRevenue,-0.0637,0.0637,383
car_mm_1y_pct,p0_p5,gro_growthEPS,0.0625,0.0625,384
car_mm_1y_pct,p0_p5,gro_growthEPSDiluted,0.0624,0.0624,384
car_mm_1y_pct,p0_p5,sur_surprise_ebitda,-0.0576,0.0576,383
car_mm_1y_pct,p0_p5,gro_growthOperatingIncome,0.0545,0.0545,384
car_mm_1y_pct,p0_p5,sur_surprise_ebitda_pct,0.0517,0.0517,383
car_mm_1y_pct,p0_p5,sur_surprise_netIncome_pct,-0.0367,0.0367,383
car_mm_1y_pct,p0_p5,sur_surprise_ebit_pct,-0.0354,0.0354,383
car_mm_1y_pct,p0_p5,gro_growthSellingAndMarketingExpenses,-0.0332,0.0332,384
car_mm_1y_pct,p0_p5,gro_fiscalYear,-0.0314,0.0314,384
car_mm_1y_pct,p0_p5,gro_growthCostOfRevenue,0.0286,0.0286,384
car_mm_1y_pct,p0_p5,gro_growthNetIncomeDeductions,-0.0279,0.0279,384
car_mm_1y_pct,p0_p5,est_epsHigh,0.0253,0.0253,383
car_mm_1y_pct,p0_p5,sur_surprise_revenue_pct,0.0252,0.0252,383
car_mm_1y_pct,p0_p5,gro_growthOtherAdjustmentsToNetIncome,-0.0251,0.0251,384
car_mm_1y_pct,p0_p5,sur_surprise_eps,-0.025,0.025,383
car_mm_1y_pct,p0_p5,est_epsLow,0.025,0.025,383
car_mm_1y_pct,p0_p5,gro_growthInterestExpense,-0.0242,0.0242,384
car_mm_1y_pct,p0_p5,sur_est_eps,0.0228,0.0228,383
car_mm_1y_pct,p0_p5,est_epsAvg,0.0228,0.0228,383
car_mm_1y_pct,p0_p5,gro_growthNetInterestIncome,0.0177,0.0177,384
car_mm_1y_pct,p0_p5,gro_growthEBIT,0.0158,0.0158,384
car_mm_1y_pct,p0_p5,gro_growthResearchAndDevelopmentExpenses,-0.01,0.01,384
car_mm_1y_pct,p0_p5,gro_growthIncomeTaxExpense,0.01,0.01,384
car_mm_1y_pct,p0_p5,gro_growthInterestIncome,-0.0099,0.0099,384
car_mm_1y_pct,p0_p5,sur_surprise_netIncome,0.0094,0.0094,383
car_mm_1y_pct,p0_p5,gro_growthRevenue,0.0092,0.0092,384
car_mm_1y_pct,p0_p5,gro_growthNonOperatingIncomeExcludingInterest,-0.0086,0.0086,384
car_mm_1y_pct,p0_p5,gro_growthTotalOtherIncomeExpensesNet,-0.0082,0.0082,384
car_mm_1y_pct,p0_p5,gro_growthDepreciationAndAmortization,-0.0077,0.0077,384
car_mm_1y_pct,p0_p5,gro_growthGeneralAndAdministrativeExpenses,0.0073,0.0073,384
car_mm_1y_pct,p0_p5,sur_surprise_eps_pct,-0.0067,0.0067,383
car_mm_1y_pct,p0_p5,sur_actual_eps,0.0065,0.0065,384
car_mm_1y_pct,p0_p5,gro_growthEBITDA,-0.0022,0.0022,384
car_mm_1y_pct,p0_p5,sur_quarter_rank,0.002,0.002,384
car_mm_1y_pct,p0_p5,sur_surprise_revenue,0.0017,0.0017,383
car_mm_1y_pct,p0_p5,gro_growthIncomeBeforeTax,-0.0015,0.0015,384
car_mm_1y_pct,p0_p5,gro_growthOtherExpenses,-0.0004,0.0004,384
