ticker,earnings_date,date,offset,ret,ret_pct
NVDA,2021-08-18,2021-08-05,-10,,
NVDA,2021-08-18,2021-08-06,-9,-0.013131752236955285,-1.3131752236955285
NVDA,2021-08-18,2021-08-09,-8,-0.003486259956988036,-0.3486259956988036
NVDA,2021-08-18,2021-08-10,-7,-0.017689236618371296,-1.7689236618371296
NVDA,2021-08-18,2021-08-11,-6,-0.011888140252055646,-1.1888140252055646
NVDA,2021-08-18,2021-08-12,-5,0.010457548306383568,1.0457548306383568
NVDA,2021-08-18,2021-08-13,-4,0.014217685866202423,1.4217685866202423
NVDA,2021-08-18,2021-08-16,-3,-0.011789170594512344,-1.1789170594512344
NVDA,2021-08-18,2021-08-17,-2,-0.02466192937721512,-2.466192937721512
NVDA,2021-08-18,2021-08-18,-1,-0.021482134980149947,-2.1482134980149947
NVDA,2021-08-18,2021-08-19,0,0.03981097907294129,3.981097907294129
NVDA,2021-08-18,2021-08-20,1,0.051419608830658436,5.141960883065844
NVDA,2021-08-18,2021-08-23,2,0.05486137309274808,5.486137309274808
NVDA,2021-08-18,2021-08-24,3,-0.007514042852966529,-0.7514042852966529
NVDA,2021-08-18,2021-08-25,4,0.019271748192922766,1.9271748192922766
NVDA,2021-08-18,2021-08-26,5,-0.006527441994715999,-0.6527441994715999
NVDA,2021-08-18,2021-08-27,6,0.02573853295646189,2.573853295646189
NVDA,2021-08-18,2021-08-30,7,0.0022971295381419843,0.22971295381419843
NVDA,2021-08-18,2021-08-31,8,-0.01318077152287389,-1.318077152287389
NVDA,2021-08-18,2021-09-01,9,0.002501437620095137,0.2501437620095137
NVDA,2021-08-18,2021-09-02,10,-0.00200521881532989,-0.200521881532989
NVDA,2021-11-17,2021-11-04,-10,,
NVDA,2021-11-17,2021-11-05,-9,-0.0016444127932749852,-0.16444127932749852
NVDA,2021-11-17,2021-11-08,-8,0.035358954250112706,3.5358954250112706
NVDA,2021-11-17,2021-11-09,-7,-0.004771989075613381,-0.4771989075613381
NVDA,2021-11-17,2021-11-10,-6,-0.03907766174675542,-3.907766174675542
NVDA,2021-11-17,2021-11-11,-5,0.03160339113403143,3.1603391134031433
NVDA,2021-11-17,2021-11-12,-4,0.0,0.0
NVDA,2021-11-17,2021-11-15,-3,-0.012010607054103506,-1.2010607054103506
NVDA,2021-11-17,2021-11-16,-2,0.005928365514406675,0.5928365514406675
NVDA,2021-11-17,2021-11-17,-1,-0.031188949610568395,-3.1188949610568395
NVDA,2021-11-17,2021-11-18,0,0.08249884909236371,8.249884909236371
NVDA,2021-11-17,2021-11-19,1,0.04135763154853911,4.135763154853911
NVDA,2021-11-17,2021-11-22,2,-0.031196032562579967,-3.1196032562579967
NVDA,2021-11-17,2021-11-23,3,-0.006571526249142701,-0.6571526249142701
NVDA,2021-11-17,2021-11-24,4,0.029232321045472354,2.9232321045472354
NVDA,2021-11-17,2021-11-26,5,-0.0358391607368963,-3.5839160736896303
NVDA,2021-11-17,2021-11-29,6,0.059454601292725506,5.945460129272551
NVDA,2021-11-17,2021-11-30,7,-0.02097285717999764,-2.097285717999764
NVDA,2021-11-17,2021-12-01,8,-0.0378614264597088,-3.7861426459708802
NVDA,2021-11-17,2021-12-02,9,0.021981893387789775,2.1981893387789775
NVDA,2021-11-17,2021-12-03,10,-0.04460554674900152,-4.460554674900152
NVDA,2022-02-16,2022-02-03,-10,,
NVDA,2022-02-16,2022-02-04,-9,0.015491996328574897,1.5491996328574897
NVDA,2022-02-16,2022-02-07,-8,0.01681802929705767,1.6818029297057668
NVDA,2022-02-16,2022-02-08,-7,0.01536709839802497,1.536709839802497
NVDA,2022-02-16,2022-02-09,-6,0.06360545002116336,6.360545002116336
NVDA,2022-02-16,2022-02-10,-5,-0.03299023768568621,-3.299023768568621
NVDA,2022-02-16,2022-02-11,-4,-0.07260685163570957,-7.260685163570956
NVDA,2022-02-16,2022-02-14,-3,0.013278277023821783,1.3278277023821783
NVDA,2022-02-16,2022-02-15,-2,0.09181198206153418,9.181198206153418
NVDA,2022-02-16,2022-02-16,-1,0.0006037872484836448,0.060378724848364485
NVDA,2022-02-16,2022-02-17,0,-0.07559120811883868,-7.559120811883869
NVDA,2022-02-16,2022-02-18,1,-0.03529616804891811,-3.529616804891811
NVDA,2022-02-16,2022-02-22,2,-0.010659148375536165,-1.0659148375536165
NVDA,2022-02-16,2022-02-23,3,-0.04288140644986704,-4.288140644986704
NVDA,2022-02-16,2022-02-24,4,0.06079426750102557,6.079426750102557
NVDA,2022-02-16,2022-02-25,5,0.017222566954318452,1.7222566954318452
NVDA,2022-02-16,2022-02-28,6,0.009438214015810242,0.9438214015810242
