ticker,earnings_date,day0_date,section,speaker_type,n_tokens,n_tokens_raw,lm_pos,lm_neg,lm_unc,lm_lit,lm_constr,lm_strong,lm_weak,lm_complex,lm_pos_prop,lm_neg_prop,lm_unc_prop,lm_lit_prop,lm_constr_prop,lm_tone
HD,2022-08-16,2022-08-16,prepared,all,5552.0,11086.0,298.0,102.0,106.0,6.0,14.0,48.0,44.0,10.0,0.05367435158501441,0.018371757925072046,0.01909221902017291,0.001080691642651297,0.002521613832853026,0.035302593659942365
HD,2022-08-16,2022-08-16,qa,all,2806.0,6100.0,90.0,36.0,38.0,0.0,0.0,28.0,22.0,0.0,0.03207412687099073,0.012829650748396294,0.0135424091233072,0.0,0.0,0.01924447612259444
HD,2022-11-15,2022-11-15,all,all,7952.0,16454.0,350.0,128.0,160.0,2.0,10.0,72.0,82.0,10.0,0.04401408450704225,0.01609657947686117,0.02012072434607646,0.00025150905432595576,0.0012575452716297787,0.027917505030181086
HD,2022-11-15,2022-11-15,prepared,all,2784.0,5094.0,142.0,24.0,50.0,2.0,10.0,28.0,6.0,8.0,0.05100574712643678,0.008620689655172414,0.017959770114942528,0.0007183908045977011,0.0035919540229885057,0.042385057471264365
HD,2022-11-15,2022-11-15,qa,all,5168.0,11360.0,208.0,104.0,110.0,0.0,0.0,44.0,76.0,2.0,0.04024767801857585,0.020123839009287926,0.02128482972136223,0.0,0.0,0.020123839009287926
HD,2023-02-21,2023-02-21,all,all,8150.0,16246.0,324.0,126.0,158.0,8.0,10.0,86.0,46.0,12.0,0.03975460122699386,0.015460122699386503,0.019386503067484663,0.00098159509202454,0.001226993865030675,0.024294478527607362
HD,2023-02-21,2023-02-21,prepared,all,3894.0,7076.0,182.0,56.0,82.0,4.0,8.0,50.0,6.0,10.0,0.04673857216230098,0.014381099126861838,0.021058038007190548,0.001027221366204417,0.002054442732408834,0.032357473035439135
HD,2023-02-21,2023-02-21,qa,all,4256.0,9170.0,142.0,70.0,76.0,4.0,2.0,36.0,40.0,2.0,0.03336466165413534,0.01644736842105263,0.017857142857142856,0.0009398496240601503,0.00046992481203007516,0.016917293233082706
HD,2023-05-16,2023-05-16,all,all,8126.0,16536.0,288.0,198.0,182.0,20.0,4.0,108.0,72.0,6.0,0.0354417917794733,0.02436623184838789,0.02239724341619493,0.002461235540241201,0.0004922471080482402,0.011075559931085405
HD,2023-05-16,2023-05-16,prepared,all,3214.0,5882.0,134.0,82.0,76.0,6.0,2.0,36.0,16.0,6.0,0.04169259489732421,0.02551337896701929,0.023646546359676415,0.001866832607342875,0.0006222775357809583,0.016179215930304917
HD,2023-05-16,2023-05-16,qa,all,4912.0,10654.0,154.0,116.0,106.0,14.0,2.0,72.0,56.0,0.0,0.031351791530944625,0.023615635179153095,0.021579804560260585,0.0028501628664495114,0.00040716612377850165,0.007736156351791531
HD,2023-08-15,2023-08-15,all,all,7684.0,15866.0,292.0,138.0,158.0,6.0,8.0,98.0,74.0,8.0,0.03800104112441437,0.017959396147839667,0.02056220718375846,0.0007808433107756377,0.001041124414367517,0.0200416449765747
HD,2023-08-15,2023-08-15,prepared,all,3008.0,5494.0,138.0,52.0,66.0,2.0,6.0,40.0,18.0,6.0,0.045877659574468085,0.017287234042553192,0.021941489361702128,0.0006648936170212766,0.0019946808510638296,0.028590425531914893
HD,2023-08-15,2023-08-15,qa,all,4676.0,10372.0,154.0,86.0,92.0,4.0,2.0,58.0,56.0,2.0,0.03293413173652695,0.018391787852865698,0.019674935842600515,0.000855431993156544,0.000427715996578272,0.01454234388366125
HD,2023-11-14,2023-11-14,all,all,7652.0,15876.0,242.0,120.0,160.0,14.0,14.0,88.0,74.0,30.0,0.031625718766335596,0.015682174594877155,0.020909566126502875,0.0018295870360690017,0.0018295870360690017,0.01594354417145844
HD,2023-11-14,2023-11-14,prepared,all,3100.0,5764.0,118.0,46.0,58.0,2.0,10.0,44.0,10.0,14.0,0.03806451612903226,0.014838709677419355,0.01870967741935484,0.0006451612903225806,0.0032258064516129032,0.023225806451612905
HD,2023-11-14,2023-11-14,qa,all,4552.0,10112.0,124.0,74.0,102.0,12.0,4.0,44.0,64.0,16.0,0.027240773286467488,0.01625659050966608,0.02240773286467487,0.0026362038664323375,0.0008787346221441124,0.010984182776801407
HD,2024-02-20,2024-02-20,all,all,7772.0,15258.0,326.0,100.0,150.0,14.0,8.0,98.0,48.0,22.0,0.041945445187853835,0.012866700977869275,0.01930005146680391,0.0018013381369016985,0.001029336078229542,0.02907874420998456
HD,2024-02-20,2024-02-20,prepared,all,4044.0,7294.0,196.0,48.0,102.0,2.0,8.0,64.0,10.0,12.0,0.04846686449060336,0.011869436201780416,0.025222551928783383,0.0004945598417408506,0.0019782393669634025,0.036597428288822946
HD,2024-02-20,2024-02-20,qa,all,3728.0,7964.0,130.0,52.0,48.0,12.0,0.0,34.0,38.0,10.0,0.03487124463519313,0.013948497854077254,0.012875536480686695,0.003218884120171674,0.0,0.02092274678111588
HD,2024-05-14,2024-05-14,all,all,7970.0,16440.0,310.0,140.0,152.0,14.0,4.0,68.0,70.0,22.0,0.03889585947302384,0.01756587202007528,0.01907151819322459,0.0017565872020075283,0.0005018820577164366,0.02132998745294856
HD,2024-05-14,2024-05-14,prepared,all,3200.0,5958.0,158.0,48.0,60.0,10.0,4.0,46.0,8.0,10.0,0.049375,0.015,0.01875,0.003125,0.00125,0.034375
HD,2024-05-14,2024-05-14,qa,all,4770.0,10482.0,152.0,92.0,92.0,4.0,0.0,22.0,62.0,12.0,0.031865828092243184,0.01928721174004193,0.01928721174004193,0.0008385744234800838,0.0,0.012578616352201259
HD,2024-08-13,2024-08-13,all,all,8022.0,16160.0,248.0,146.0,172.0,4.0,6.0,76.0,52.0,16.0,0.030914983794564945,0.018199950137122913,0.02144103714784343,0.0004986287708800798,0.0007479431563201197,0.012715033657442034
HD,2024-08-13,2024-08-13,prepared,all,3380.0,6152.0,132.0,64.0,98.0,2.0,6.0,46.0,8.0,8.0,0.03905325443786982,0.01893491124260355,0.028994082840236687,0.000591715976331361,0.0017751479289940828,0.020118343195266272
HD,2024-08-13,2024-08-13,qa,all,4642.0,10008.0,116.0,82.0,74.0,2.0,0.0,30.0,44.0,8.0,0.024989228780697974,0.017664799655320983,0.015941404566996983,0.00043084877208099956,0.0,0.007324429125376993
HD,2024-11-12,2024-11-12,all,all,7986.0,15940.0,288.0,116.0,160.0,8.0,10.0,76.0,40.0,8.0,0.03606311044327573,0.01452541948409717,0.020035061357375407,0.0010017530678687703,0.001252191334835963,0.02153769095917856
HD,2024-11-12,2024-11-12,prepared,all,3340.0,6166.0,156.0,56.0,98.0,2.0,8.0,36.0,6.0,4.0,0.046706586826347304,0.016766467065868262,0.029341317365269463,0.0005988023952095808,0.0023952095808383233,0.029940119760479042
